asset,date,close,volume,daily_return,ma20,ma60,ret20,vol20,drawdown60,rsi14,macd,macd_signal
SPY,2022-03-29,461.54999,86581500,0.012371,436.8605,444.87467,0.073422,0.230168,-0.033828,75.5539,4.668882,0.872708
SPY,2022-03-30,458.70001,79666900,-0.006175,437.901,444.55784,0.047523,0.22577,-0.039472,74.52749,5.299235,1.758014
SPY,2022-03-31,451.64001,121699900,-0.015391,438.6975,444.126,0.036561,0.233199,-0.041145,72.75482,5.16952,2.440315
SPY,2022-04-01,452.92001,89048800,0.002834,439.735,443.86834,0.048014,0.230176,-0.041145,76.57595,5.111088,2.97447
SPY,2022-04-04,456.79999,59601000,0.008567,441.6035,443.68267,0.089097,0.197481,-0.041145,74.58664,5.316576,3.442891
SPY,2022-04-05,451.03,74214500,-0.012631,443.3425,443.43167,0.083556,0.202282,-0.04244,63.14625,4.956699,3.745653
SPY,2022-04-06,446.51999,106898000,-0.009999,444.298,443.11517,0.044711,0.189242,-0.052015,54.72515,4.258484,3.848219
SPY,2022-04-07,448.76999,78097200,0.005039,445.4625,442.7655,0.054738,0.18774,-0.052015,53.76307,3.842407,3.847057
SPY,2022-04-08,447.57001,79272700,-0.002674,446.8375,442.37467,0.065465,0.180005,-0.052015,52.76329,3.376908,3.753027
SPY,2022-04-11,439.92001,89770500,-0.017092,447.9835,441.9645,0.054964,0.190643,-0.053365,41.94033,2.363461,3.475114
SPY,2022-04-12,438.29001,84363600,-0.003705,448.5895,441.524,0.028439,0.177617,-0.053365,45.06539,1.412488,3.062589
SPY,2022-04-13,443.31,74070400,0.011454,448.974,441.30434,0.017653,0.164638,-0.053365,43.37149,1.051781,2.660427
SPY,2022-04-14,437.79001,97869500,-0.012452,448.81,441.07167,-0.007436,0.165186,-0.053365,37.03895,0.316849,2.191711
SPY,2022-04-18,437.97,66002500,0.000411,448.4825,440.92534,-0.014735,0.162412,-0.053365,33.52311,-0.248205,1.703728
SPY,2022-04-19,445.04001,77821000,0.016143,448.515,441.043,0.001463,0.173076,-0.053365,35.22462,-0.124093,1.338164
SPY,2022-04-20,444.70999,65224400,-0.000742,448.271,441.12417,-0.010854,0.167591,-0.053365,36.88844,-0.051767,1.060178
SPY,2022-04-21,438.06,85417300,-0.014954,447.984,441.184,-0.012934,0.169773,-0.053365,37.17413,-0.524995,0.743143
SPY,2022-04-22,426.04001,132471800,-0.027439,446.7615,441.06167,-0.054274,0.184184,-0.076936,28.89445,-1.848634,0.224788
SPY,2022-04-25,428.51001,119647700,0.005798,445.5525,441.01617,-0.053414,0.184712,-0.076936,27.28441,-2.667569,-0.353683
SPY,2022-04-26,416.10001,103996300,-0.028961,443.562,440.58534,-0.08732,0.202849,-0.098473,24.65534,-4.268757,-1.136698
SPY,2022-04-27,417.26999,122030000,0.002812,441.348,440.04134,-0.095938,0.195004,-0.098473,27.69557,-5.38127,-1.985613
SPY,2022-04-28,427.81,105449100,0.025259,439.8035,439.62234,-0.067343,0.2224,-0.098473,35.81099,-5.350774,-2.658645
SPY,2022-04-29,412.0,145491100,-0.036956,437.8215,438.8665,-0.087769,0.249376,-0.107356,29.89713,-6.5271,-3.432336
SPY,2022-05-02,414.48001,158312500,0.006019,435.8995,438.33117,-0.084872,0.250864,-0.107356,34.72989,-7.176504,-4.181169
SPY,2022-05-03,416.38,100028200,0.004584,433.8785,437.7925,-0.088485,0.248542,-0.107356,36.89122,-7.451946,-4.835325
SPY,2022-05-04,429.06,144247900,0.030453,432.78,437.48917,-0.048711,0.275452,-0.107356,42.19007,-6.571317,-5.182523
SPY,2022-05-05,413.81,172929100,-0.035543,431.1445,436.87034,-0.073255,0.298794,-0.107356,38.124,-7.023003,-5.550619
SPY,2022-05-06,411.34,151770800,-0.005969,429.273,436.10034,-0.083406,0.297109,-0.108786,37.10411,-7.493891,-5.939273
