asset,date,trend_state,vol_state,momentum_state
SPY,2022-03-29,Uptrend,LowVolatility,Overbought
SPY,2022-03-30,Uptrend,LowVolatility,PositiveMomentum
SPY,2022-03-31,Uptrend,LowVolatility,PositiveMomentum
SPY,2022-04-01,Uptrend,LowVolatility,Overbought
SPY,2022-04-04,Uptrend,LowVolatility,PositiveMomentum
SPY,2022-04-05,Uptrend,LowVolatility,PositiveMomentum
SPY,2022-04-06,StrongUptrend,LowVolatility,PositiveMomentum
SPY,2022-04-07,StrongUptrend,LowVolatility,NegativeMomentum
SPY,2022-04-08,StrongUptrend,LowVolatility,NegativeMomentum
SPY,2022-04-11,Sideways,LowVolatility,NegativeMomentum
SPY,2022-04-12,Sideways,LowVolatility,NegativeMomentum
SPY,2022-04-13,Uptrend,LowVolatility,NegativeMomentum
SPY,2022-04-14,Sideways,LowVolatility,NegativeMomentum
SPY,2022-04-18,Sideways,LowVolatility,NegativeMomentum
SPY,2022-04-19,Sideways,LowVolatility,NegativeMomentum
SPY,2022-04-20,Sideways,LowVolatility,NegativeMomentum
SPY,2022-04-21,Sideways,LowVolatility,NegativeMomentum
SPY,2022-04-22,Downtrend,LowVolatility,Oversold
SPY,2022-04-25,Downtrend,LowVolatility,Oversold
SPY,2022-04-26,Downtrend,LowVolatility,Oversold
SPY,2022-04-27,Downtrend,LowVolatility,Oversold
SPY,2022-04-28,Downtrend,LowVolatility,NegativeMomentum
SPY,2022-04-29,StrongDowntrend,LowVolatility,Oversold
SPY,2022-05-02,StrongDowntrend,LowVolatility,NegativeMomentum
SPY,2022-05-03,StrongDowntrend,LowVolatility,NegativeMomentum
SPY,2022-05-04,StrongDowntrend,LowVolatility,NegativeMomentum
SPY,2022-05-05,StrongDowntrend,MediumVolatility,NegativeMomentum
SPY,2022-05-06,StrongDowntrend,MediumVolatility,NegativeMomentum
SPY,2022-05-09,StrongDowntrend,MediumVolatility,Oversold
SPY,2022-05-10,StrongDowntrend,MediumVolatility,Oversold
SPY,2022-05-11,StrongDowntrend,MediumVolatility,Oversold
SPY,2022-05-12,StrongDowntrend,MediumVolatility,NegativeMomentum
SPY,2022-05-13,StrongDowntrend,MediumVolatility,NegativeMomentum
SPY,2022-05-16,StrongDowntrend,MediumVolatility,NegativeMomentum
SPY,2022-05-17,StrongDowntrend,MediumVolatility,NegativeMomentum
SPY,2022-05-18,StrongDowntrend,MediumVolatility,NegativeMomentum
SPY,2022-05-19,StrongDowntrend,MediumVolatility,NegativeMomentum
SPY,2022-05-20,StrongDowntrend,MediumVolatility,NegativeMomentum
SPY,2022-05-23,StrongDowntrend,MediumVolatility,NegativeMomentum
SPY,2022-05-24,StrongDowntrend,MediumVolatility,Oversold
SPY,2022-05-25,StrongDowntrend,MediumVolatility,PositiveMomentum
SPY,2022-05-26,StrongDowntrend,MediumVolatility,PositiveMomentum
SPY,2022-05-27,Sideways,MediumVolatility,PositiveMomentum
SPY,2022-05-31,Sideways,MediumVolatility,PositiveMomentum
SPY,2022-06-01,Downtrend,MediumVolatility,PositiveMomentum
SPY,2022-06-02,Downtrend,MediumVolatility,PositiveMomentum
SPY,2022-06-03,Sideways,MediumVolatility,PositiveMomentum
SPY,2022-06-06,Sideways,MediumVolatility,PositiveMomentum
SPY,2022-06-07,Sideways,LowVolatility,PositiveMomentum
