asset,date,agent,weight,trend_state,vol_state,momentum_state
SPY,2022-03-29,TechnicalAgent,0.29565,Uptrend,LowVolatility,Overbought
SPY,2022-03-29,BullAgent,0.26957,Uptrend,LowVolatility,Overbought
SPY,2022-03-29,BearAgent,0.17391,Uptrend,LowVolatility,Overbought
SPY,2022-03-29,RiskAgent,0.26087,Uptrend,LowVolatility,Overbought
SPY,2022-03-30,TechnicalAgent,0.31481,Uptrend,LowVolatility,PositiveMomentum
SPY,2022-03-30,BullAgent,0.28704,Uptrend,LowVolatility,PositiveMomentum
SPY,2022-03-30,BearAgent,0.14815,Uptrend,LowVolatility,PositiveMomentum
SPY,2022-03-30,RiskAgent,0.25,Uptrend,LowVolatility,PositiveMomentum
SPY,2022-03-31,TechnicalAgent,0.31481,Uptrend,LowVolatility,PositiveMomentum
SPY,2022-03-31,BullAgent,0.28704,Uptrend,LowVolatility,PositiveMomentum
SPY,2022-03-31,BearAgent,0.14815,Uptrend,LowVolatility,PositiveMomentum
SPY,2022-03-31,RiskAgent,0.25,Uptrend,LowVolatility,PositiveMomentum
SPY,2022-04-01,TechnicalAgent,0.29565,Uptrend,LowVolatility,Overbought
SPY,2022-04-01,BullAgent,0.26957,Uptrend,LowVolatility,Overbought
SPY,2022-04-01,BearAgent,0.17391,Uptrend,LowVolatility,Overbought
SPY,2022-04-01,RiskAgent,0.26087,Uptrend,LowVolatility,Overbought
SPY,2022-04-04,TechnicalAgent,0.31481,Uptrend,LowVolatility,PositiveMomentum
SPY,2022-04-04,BullAgent,0.28704,Uptrend,LowVolatility,PositiveMomentum
SPY,2022-04-04,BearAgent,0.14815,Uptrend,LowVolatility,PositiveMomentum
SPY,2022-04-04,RiskAgent,0.25,Uptrend,LowVolatility,PositiveMomentum
SPY,2022-04-05,TechnicalAgent,0.31481,Uptrend,LowVolatility,PositiveMomentum
SPY,2022-04-05,BullAgent,0.28704,Uptrend,LowVolatility,PositiveMomentum
SPY,2022-04-05,BearAgent,0.14815,Uptrend,LowVolatility,PositiveMomentum
SPY,2022-04-05,RiskAgent,0.25,Uptrend,LowVolatility,PositiveMomentum
SPY,2022-04-06,TechnicalAgent,0.31481,StrongUptrend,LowVolatility,PositiveMomentum
SPY,2022-04-06,BullAgent,0.28704,StrongUptrend,LowVolatility,PositiveMomentum
SPY,2022-04-06,BearAgent,0.14815,StrongUptrend,LowVolatility,PositiveMomentum
SPY,2022-04-06,RiskAgent,0.25,StrongUptrend,LowVolatility,PositiveMomentum
SPY,2022-04-07,TechnicalAgent,0.31481,StrongUptrend,LowVolatility,NegativeMomentum
SPY,2022-04-07,BullAgent,0.28704,StrongUptrend,LowVolatility,NegativeMomentum
SPY,2022-04-07,BearAgent,0.14815,StrongUptrend,LowVolatility,NegativeMomentum
SPY,2022-04-07,RiskAgent,0.25,StrongUptrend,LowVolatility,NegativeMomentum
SPY,2022-04-08,TechnicalAgent,0.31481,StrongUptrend,LowVolatility,NegativeMomentum
SPY,2022-04-08,BullAgent,0.28704,StrongUptrend,LowVolatility,NegativeMomentum
SPY,2022-04-08,BearAgent,0.14815,StrongUptrend,LowVolatility,NegativeMomentum
SPY,2022-04-08,RiskAgent,0.25,StrongUptrend,LowVolatility,NegativeMomentum
SPY,2022-04-11,TechnicalAgent,0.3,Sideways,LowVolatility,NegativeMomentum
SPY,2022-04-11,BullAgent,0.23,Sideways,LowVolatility,NegativeMomentum
SPY,2022-04-11,BearAgent,0.2,Sideways,LowVolatility,NegativeMomentum
SPY,2022-04-11,RiskAgent,0.27,Sideways,LowVolatility,NegativeMomentum
SPY,2022-04-12,TechnicalAgent,0.3,Sideways,LowVolatility,NegativeMomentum
SPY,2022-04-12,BullAgent,0.23,Sideways,LowVolatility,NegativeMomentum
SPY,2022-04-12,BearAgent,0.2,Sideways,LowVolatility,NegativeMomentum
SPY,2022-04-12,RiskAgent,0.27,Sideways,LowVolatility,NegativeMomentum
SPY,2022-04-13,TechnicalAgent,0.31481,Uptrend,LowVolatility,NegativeMomentum
SPY,2022-04-13,BullAgent,0.28704,Uptrend,LowVolatility,NegativeMomentum
SPY,2022-04-13,BearAgent,0.14815,Uptrend,LowVolatility,NegativeMomentum
SPY,2022-04-13,RiskAgent,0.25,Uptrend,LowVolatility,NegativeMomentum
SPY,2022-04-14,TechnicalAgent,0.3,Sideways,LowVolatility,NegativeMomentum
SPY,2022-04-14,BullAgent,0.23,Sideways,LowVolatility,NegativeMomentum
SPY,2022-04-14,BearAgent,0.2,Sideways,LowVolatility,NegativeMomentum
SPY,2022-04-14,RiskAgent,0.27,Sideways,LowVolatility,NegativeMomentum
SPY,2022-04-18,TechnicalAgent,0.3,Sideways,LowVolatility,NegativeMomentum
SPY,2022-04-18,BullAgent,0.23,Sideways,LowVolatility,NegativeMomentum
SPY,2022-04-18,BearAgent,0.2,Sideways,LowVolatility,NegativeMomentum
SPY,2022-04-18,RiskAgent,0.27,Sideways,LowVolatility,NegativeMomentum
SPY,2022-04-19,TechnicalAgent,0.3,Sideways,LowVolatility,NegativeMomentum
SPY,2022-04-19,BullAgent,0.23,Sideways,LowVolatility,NegativeMomentum
SPY,2022-04-19,BearAgent,0.2,Sideways,LowVolatility,NegativeMomentum
SPY,2022-04-19,RiskAgent,0.27,Sideways,LowVolatility,NegativeMomentum
SPY,2022-04-20,TechnicalAgent,0.3,Sideways,LowVolatility,NegativeMomentum
SPY,2022-04-20,BullAgent,0.23,Sideways,LowVolatility,NegativeMomentum
SPY,2022-04-20,BearAgent,0.2,Sideways,LowVolatility,NegativeMomentum
SPY,2022-04-20,RiskAgent,0.27,Sideways,LowVolatility,NegativeMomentum
SPY,2022-04-21,TechnicalAgent,0.3,Sideways,LowVolatility,NegativeMomentum
SPY,2022-04-21,BullAgent,0.23,Sideways,LowVolatility,NegativeMomentum
SPY,2022-04-21,BearAgent,0.2,Sideways,LowVolatility,NegativeMomentum
SPY,2022-04-21,RiskAgent,0.27,Sideways,LowVolatility,NegativeMomentum
SPY,2022-04-22,TechnicalAgent,0.27027,Downtrend,LowVolatility,Oversold
SPY,2022-04-22,BullAgent,0.18919,Downtrend,LowVolatility,Oversold
SPY,2022-04-22,BearAgent,0.25225,Downtrend,LowVolatility,Oversold
SPY,2022-04-22,RiskAgent,0.28829,Downtrend,LowVolatility,Oversold
