asset,date,technical_score,bull_score,bear_score,risk_score,raw_position,final_position,action,veto_applied,veto_reason,trend_state,vol_state,momentum_state
SPY,2022-03-29,0.07,0.41369,0.25,0.82203,0.3244,0.3244,HOLD,False,none,Uptrend,LowVolatility,Overbought
SPY,2022-03-30,-0.01367,0.39009,0.0,0.80632,0.3472,0.3472,HOLD,False,none,Uptrend,LowVolatility,PositiveMomentum
SPY,2022-03-31,-0.05204,0.34624,0.0,0.83285,0.32054,0.32054,HOLD,False,none,Uptrend,LowVolatility,PositiveMomentum
SPY,2022-04-01,-0.01195,0.31205,0.25,0.82206,0.27277,0.27277,HOLD,False,none,Uptrend,LowVolatility,Overbought
SPY,2022-04-04,0.07,0.55639,0.0,0.70529,0.42885,0.42885,HOLD,False,none,Uptrend,LowVolatility,PositiveMomentum
SPY,2022-04-05,0.25,0.53422,0.0,0.72244,0.47786,0.47786,OVERWEIGHT,False,none,Uptrend,LowVolatility,PositiveMomentum
SPY,2022-04-06,0.65649,0.47884,0.0,0.67586,0.59343,0.59343,OVERWEIGHT,False,none,StrongUptrend,LowVolatility,PositiveMomentum
SPY,2022-04-07,0.44158,0.43895,0.0,0.6705,0.51472,0.51472,OVERWEIGHT,False,none,StrongUptrend,LowVolatility,NegativeMomentum
SPY,2022-04-08,0.47913,0.48186,0.0,0.64287,0.54093,0.54093,OVERWEIGHT,False,none,StrongUptrend,LowVolatility,NegativeMomentum
SPY,2022-04-11,0.44237,0.21986,0.0,0.68087,0.42813,0.42813,HOLD,False,none,Sideways,LowVolatility,NegativeMomentum
SPY,2022-04-12,0.34954,0.11376,0.0,0.63434,0.37964,0.37964,HOLD,False,none,Sideways,LowVolatility,NegativeMomentum
SPY,2022-04-13,0.31179,0.19061,0.0,0.58799,0.40877,0.40877,HOLD,False,none,Uptrend,LowVolatility,NegativeMomentum
SPY,2022-04-14,0.04397,-0.02975,0.0,0.58995,0.25856,0.25856,HOLD,False,none,Sideways,LowVolatility,NegativeMomentum
SPY,2022-04-18,0.01843,-0.05894,0.0,0.58004,0.24499,0.24499,HOLD,False,none,Sideways,LowVolatility,NegativeMomentum
SPY,2022-04-19,0.07512,0.00585,0.0,0.61813,0.27381,0.27381,HOLD,False,none,Sideways,LowVolatility,NegativeMomentum
SPY,2022-04-20,0.03201,-0.04342,0.0,0.59854,0.25114,0.25114,HOLD,False,none,Sideways,LowVolatility,NegativeMomentum
SPY,2022-04-21,0.02473,-0.05173,0.0,0.60633,0.24641,0.24641,HOLD,False,none,Sideways,LowVolatility,NegativeMomentum
SPY,2022-04-22,-0.11996,-0.2171,0.2,0.6578,0.11916,0.11916,REDUCE,False,none,Downtrend,LowVolatility,Oversold
SPY,2022-04-25,-0.11695,-0.21366,0.2,0.65969,0.12047,0.12047,REDUCE,False,none,Downtrend,LowVolatility,Oversold
SPY,2022-04-26,-0.18,-0.25,0.45,0.72446,0.02788,0.02788,REDUCE,False,none,Downtrend,LowVolatility,Oversold
SPY,2022-04-27,-0.18,-0.25,0.45,0.69644,0.03031,0.03031,REDUCE,False,none,Downtrend,LowVolatility,Oversold
SPY,2022-04-28,-0.1657,-0.25,0.45,0.79429,0.02503,0.02503,REDUCE,False,none,Downtrend,LowVolatility,NegativeMomentum
SPY,2022-04-29,-0.68,-0.25,0.65,0.89063,0.0,0.0,REDUCE,False,none,StrongDowntrend,LowVolatility,Oversold
