"trend_state","vol_state","momentum_state","count"
"Sideways","LowVolatility","NegativeMomentum","2290"
"Sideways","LowVolatility","PositiveMomentum","1704"
"StrongUptrend","LowVolatility","PositiveMomentum","1475"
"Uptrend","LowVolatility","PositiveMomentum","1360"
"StrongUptrend","LowVolatility","Overbought","1050"
"Uptrend","LowVolatility","NegativeMomentum","1034"
"StrongUptrend","LowVolatility","NegativeMomentum","912"
"Downtrend","LowVolatility","NegativeMomentum","909"
"StrongUptrend","MediumVolatility","PositiveMomentum","647"
"Sideways","MediumVolatility","PositiveMomentum","625"
"Downtrend","LowVolatility","Oversold","549"
"StrongDowntrend","LowVolatility","Oversold","535"
"Sideways","MediumVolatility","NegativeMomentum","517"
"StrongDowntrend","LowVolatility","NegativeMomentum","508"
"StrongDowntrend","MediumVolatility","NegativeMomentum","506"
"Downtrend","LowVolatility","PositiveMomentum","461"
"StrongUptrend","MediumVolatility","NegativeMomentum","431"
"Uptrend","MediumVolatility","PositiveMomentum","398"
"StrongDowntrend","MediumVolatility","PositiveMomentum","391"
"StrongUptrend","MediumVolatility","Overbought","381"
"Uptrend","LowVolatility","Overbought","372"
"Downtrend","MediumVolatility","NegativeMomentum","324"
"StrongDowntrend","HighVolatility","PositiveMomentum","320"
"StrongDowntrend","MediumVolatility","Oversold","291"
"Sideways","HighVolatility","PositiveMomentum","265"
"StrongDowntrend","LowVolatility","PositiveMomentum","252"
"StrongUptrend","HighVolatility","PositiveMomentum","224"
"StrongUptrend","HighVolatility","NegativeMomentum","208"
"StrongDowntrend","HighVolatility","NegativeMomentum","206"
"StrongDowntrend","HighVolatility","Oversold","199"
"Downtrend","MediumVolatility","Oversold","194"
"Sideways","HighVolatility","NegativeMomentum","165"
"StrongUptrend","HighVolatility","Overbought","155"
"Uptrend","MediumVolatility","Overbought","149"
"Uptrend","HighVolatility","PositiveMomentum","149"
"Downtrend","MediumVolatility","PositiveMomentum","149"
"Sideways","LowVolatility","Oversold","146"
"Uptrend","MediumVolatility","NegativeMomentum","132"
"Downtrend","HighVolatility","NegativeMomentum","89"
"Downtrend","HighVolatility","PositiveMomentum","60"
"Downtrend","HighVolatility","Oversold","57"
"Uptrend","HighVolatility","Overbought","42"
"Uptrend","HighVolatility","NegativeMomentum","40"
"Sideways","LowVolatility","Overbought","39"
"Sideways","MediumVolatility","Oversold","39"
"Sideways","MediumVolatility","Overbought","24"
"Sideways","HighVolatility","Oversold","9"
"Sideways","HighVolatility","Overbought","9"
"Uptrend","LowVolatility","Oversold","4"
"StrongUptrend","HighVolatility","Oversold","3"
"StrongDowntrend","MediumVolatility","Overbought","3"
"Uptrend","HighVolatility","Oversold","3"
"Downtrend","MediumVolatility","Overbought","3"
"StrongDowntrend","HighVolatility","Overbought","2"
"StrongUptrend","LowVolatility","Oversold","2"
"StrongUptrend","MediumVolatility","Oversold","1"
"Uptrend","MediumVolatility","Oversold","1"
