"veto_reason","count"
"none","12505"
"exceed_max_position","2977"
"drawdown_limit_triggered","1540"
"strong_downtrend_guard","1317"
"drawdown_limit_triggered;volatility_limit_triggered","700"
"volatility_limit_triggered","494"
"drawdown_limit_triggered;volatility_limit_triggered;strong_downtrend_guard","419"
"exceed_max_position;drawdown_limit_triggered","283"
"exceed_max_position;volatility_limit_triggered","258"
"drawdown_limit_triggered;strong_downtrend_guard","237"
"volatility_limit_triggered;strong_downtrend_guard","215"
"exceed_max_position;drawdown_limit_triggered;volatility_limit_triggered","68"
