"asset","decision_days","avg_final_position","veto_count"
"AAPL","1051","0.2922","485"
"AMD","1051","0.1679","717"
"AMZN","1051","0.2851","548"
"COST","1051","0.322","333"
"DIA","1051","0.3216","229"
"GLD","1051","0.3467","247"
"GOOGL","1051","0.2921","518"
"IWM","1051","0.3128","303"
"JNJ","1051","0.2678","243"
"JPM","1051","0.3224","346"
"KO","1051","0.2876","246"
"META","1044","0.2523","703"
"MSFT","1051","0.2805","402"
"NVDA","1051","0.2143","824"
"QQQ","1051","0.3332","348"
"SPY","1051","0.3267","260"
"TLT","1051","0.2503","199"
"TSLA","1051","0.1548","794"
"UNH","1051","0.2365","424"
"XOM","1051","0.3058","339"
