asset,date,trade_id,decision_id,final_position,simulated_return_5d,outcome,risk_bucket
AAPL,2025-01-02,Trade:AAPL_2025-01-02,Decision:AAPL_2025-01-02,0.34842,0.00787,CorrectPrediction,medium
AAPL,2025-01-27,Trade:AAPL_2025-01-27,Decision:AAPL_2025-01-27,0.0993,-0.01206,WrongPrediction,medium
AAPL,2025-02-18,Trade:AAPL_2025-02-18,Decision:AAPL_2025-02-18,0.44533,0.01563,CorrectPrediction,medium
AAPL,2025-03-11,Trade:AAPL_2025-03-11,Decision:AAPL_2025-03-11,0.02228,-0.01822,WrongPrediction,medium
AAPL,2025-04-01,Trade:AAPL_2025-04-01,Decision:AAPL_2025-04-01,0.04224,-0.05162,WrongPrediction,medium
AAPL,2025-04-23,Trade:AAPL_2025-04-23,Decision:AAPL_2025-04-23,0.0,-0.055,WrongPrediction,medium
AAPL,2025-05-14,Trade:AAPL_2025-05-14,Decision:AAPL_2025-05-14,0.2475,-0.0352,WrongPrediction,medium
AAPL,2025-06-05,Trade:AAPL_2025-06-05,Decision:AAPL_2025-06-05,0.10822,-0.04634,WrongPrediction,medium
AAPL,2025-06-27,Trade:AAPL_2025-06-27,Decision:AAPL_2025-06-27,0.24698,-0.03524,WrongPrediction,medium
AAPL,2025-07-21,Trade:AAPL_2025-07-21,Decision:AAPL_2025-07-21,0.55,-0.011,WrongPrediction,medium
AAPL,2025-08-11,Trade:AAPL_2025-08-11,Decision:AAPL_2025-08-11,0.55,-0.011,WrongPrediction,medium
AAPL,2025-09-02,Trade:AAPL_2025-09-02,Decision:AAPL_2025-09-02,0.55,-0.011,WrongPrediction,medium
AAPL,2025-09-23,Trade:AAPL_2025-09-23,Decision:AAPL_2025-09-23,0.55,-0.011,WrongPrediction,medium
AAPL,2025-10-14,Trade:AAPL_2025-10-14,Decision:AAPL_2025-10-14,0.48688,0.01895,CorrectPrediction,medium
AAPL,2025-11-04,Trade:AAPL_2025-11-04,Decision:AAPL_2025-11-04,0.4765,0.01812,CorrectPrediction,medium
AAPL,2025-11-25,Trade:AAPL_2025-11-25,Decision:AAPL_2025-11-25,0.45302,0.01624,CorrectPrediction,medium
AAPL,2025-12-17,Trade:AAPL_2025-12-17,Decision:AAPL_2025-12-17,0.36625,0.0093,CorrectPrediction,medium
AAPL,2026-01-09,Trade:AAPL_2026-01-09,Decision:AAPL_2026-01-09,0.13258,-0.00939,WrongPrediction,medium
AAPL,2026-02-02,Trade:AAPL_2026-02-02,Decision:AAPL_2026-02-02,0.26246,0.001,CorrectPrediction,medium
AAPL,2026-02-24,Trade:AAPL_2026-02-24,Decision:AAPL_2026-02-24,0.44798,0.01584,CorrectPrediction,medium
AAPL,2026-03-17,Trade:AAPL_2026-03-17,Decision:AAPL_2026-03-17,0.02753,-0.0178,WrongPrediction,medium
AAPL,2026-04-08,Trade:AAPL_2026-04-08,Decision:AAPL_2026-04-08,0.2606,0.00085,CorrectPrediction,medium
AAPL,2026-04-29,Trade:AAPL_2026-04-29,Decision:AAPL_2026-04-29,0.55,-0.011,WrongPrediction,medium
AAPL,2026-05-20,Trade:AAPL_2026-05-20,Decision:AAPL_2026-05-20,0.55,-0.011,WrongPrediction,medium
MSFT,2025-01-07,Trade:MSFT_2025-01-07,Decision:MSFT_2025-01-07,0.1475,-0.0082,WrongPrediction,medium
MSFT,2025-01-30,Trade:MSFT_2025-01-30,Decision:MSFT_2025-01-30,0.15246,-0.0078,WrongPrediction,medium
MSFT,2025-02-21,Trade:MSFT_2025-02-21,Decision:MSFT_2025-02-21,0.00828,-0.05434,WrongPrediction,medium
MSFT,2025-03-14,Trade:MSFT_2025-03-14,Decision:MSFT_2025-03-14,0.0,-0.055,WrongPrediction,medium
MSFT,2025-04-04,Trade:MSFT_2025-04-04,Decision:MSFT_2025-04-04,0.0,-0.02,WrongPrediction,medium
MSFT,2025-04-28,Trade:MSFT_2025-04-28,Decision:MSFT_2025-04-28,0.27769,-0.03278,WrongPrediction,medium
MSFT,2025-05-19,Trade:MSFT_2025-05-19,Decision:MSFT_2025-05-19,0.54813,0.02385,CorrectPrediction,medium
MSFT,2025-06-10,Trade:MSFT_2025-06-10,Decision:MSFT_2025-06-10,0.49142,0.01931,CorrectPrediction,medium
MSFT,2025-07-02,Trade:MSFT_2025-07-02,Decision:MSFT_2025-07-02,0.46399,0.01712,CorrectPrediction,medium
MSFT,2025-07-24,Trade:MSFT_2025-07-24,Decision:MSFT_2025-07-24,0.4773,0.01818,CorrectPrediction,medium
MSFT,2025-08-14,Trade:MSFT_2025-08-14,Decision:MSFT_2025-08-14,0.42285,0.01383,CorrectPrediction,medium
MSFT,2025-09-05,Trade:MSFT_2025-09-05,Decision:MSFT_2025-09-05,0.15376,-0.0077,WrongPrediction,medium
MSFT,2025-09-26,Trade:MSFT_2025-09-26,Decision:MSFT_2025-09-26,0.29413,0.00353,CorrectPrediction,medium
MSFT,2025-10-17,Trade:MSFT_2025-10-17,Decision:MSFT_2025-10-17,0.33092,0.00647,CorrectPrediction,medium
MSFT,2025-11-07,Trade:MSFT_2025-11-07,Decision:MSFT_2025-11-07,0.18404,-0.00528,WrongPrediction,medium
MSFT,2025-12-01,Trade:MSFT_2025-12-01,Decision:MSFT_2025-12-01,0.0,-0.055,WrongPrediction,medium
MSFT,2025-12-22,Trade:MSFT_2025-12-22,Decision:MSFT_2025-12-22,0.33362,0.00669,CorrectPrediction,medium
MSFT,2026-01-14,Trade:MSFT_2026-01-14,Decision:MSFT_2026-01-14,0.04453,-0.01644,WrongPrediction,medium
MSFT,2026-02-05,Trade:MSFT_2026-02-05,Decision:MSFT_2026-02-05,0.0,-0.055,WrongPrediction,medium
MSFT,2026-02-27,Trade:MSFT_2026-02-27,Decision:MSFT_2026-02-27,0.01755,-0.0536,WrongPrediction,medium
MSFT,2026-03-20,Trade:MSFT_2026-03-20,Decision:MSFT_2026-03-20,0.0,-0.02,WrongPrediction,medium
MSFT,2026-04-13,Trade:MSFT_2026-04-13,Decision:MSFT_2026-04-13,0.09609,-0.04731,WrongPrediction,medium
MSFT,2026-05-04,Trade:MSFT_2026-05-04,Decision:MSFT_2026-05-04,0.2475,-0.0352,WrongPrediction,medium
MSFT,2026-05-26,Trade:MSFT_2026-05-26,Decision:MSFT_2026-05-26,0.23892,-0.03589,WrongPrediction,medium
NVDA,2025-01-13,Trade:NVDA_2025-01-13,Decision:NVDA_2025-01-13,0.05022,-0.05098,WrongPrediction,high
NVDA,2025-02-04,Trade:NVDA_2025-02-04,Decision:NVDA_2025-02-04,0.0,-0.055,WrongPrediction,high
NVDA,2025-02-26,Trade:NVDA_2025-02-26,Decision:NVDA_2025-02-26,0.18638,-0.00509,WrongPrediction,high
NVDA,2025-03-19,Trade:NVDA_2025-03-19,Decision:NVDA_2025-03-19,0.0,-0.055,WrongPrediction,high
NVDA,2025-04-09,Trade:NVDA_2025-04-09,Decision:NVDA_2025-04-09,0.0,-0.055,WrongPrediction,high
NVDA,2025-05-01,Trade:NVDA_2025-05-01,Decision:NVDA_2025-05-01,0.08795,-0.04796,WrongPrediction,high
NVDA,2025-05-22,Trade:NVDA_2025-05-22,Decision:NVDA_2025-05-22,0.1575,-0.0424,WrongPrediction,high
NVDA,2025-06-13,Trade:NVDA_2025-06-13,Decision:NVDA_2025-06-13,0.1575,-0.0424,WrongPrediction,high
NVDA,2025-07-08,Trade:NVDA_2025-07-08,Decision:NVDA_2025-07-08,0.35,-0.027,WrongPrediction,high
NVDA,2025-07-29,Trade:NVDA_2025-07-29,Decision:NVDA_2025-07-29,0.35,-0.027,WrongPrediction,high
NVDA,2025-08-19,Trade:NVDA_2025-08-19,Decision:NVDA_2025-08-19,0.35,-0.027,WrongPrediction,high
NVDA,2025-09-10,Trade:NVDA_2025-09-10,Decision:NVDA_2025-09-10,0.26458,0.00117,CorrectPrediction,high
NVDA,2025-10-01,Trade:NVDA_2025-10-01,Decision:NVDA_2025-10-01,0.35,-0.027,WrongPrediction,high
NVDA,2025-10-22,Trade:NVDA_2025-10-22,Decision:NVDA_2025-10-22,0.33639,0.00691,CorrectPrediction,high
NVDA,2025-11-12,Trade:NVDA_2025-11-12,Decision:NVDA_2025-11-12,0.35,-0.027,WrongPrediction,high
NVDA,2025-12-04,Trade:NVDA_2025-12-04,Decision:NVDA_2025-12-04,0.03036,-0.05257,WrongPrediction,high
NVDA,2025-12-26,Trade:NVDA_2025-12-26,Decision:NVDA_2025-12-26,0.35,-0.027,WrongPrediction,high
NVDA,2026-01-20,Trade:NVDA_2026-01-20,Decision:NVDA_2026-01-20,0.17419,-0.00606,WrongPrediction,high
NVDA,2026-02-10,Trade:NVDA_2026-02-10,Decision:NVDA_2026-02-10,0.35,-0.027,WrongPrediction,high
NVDA,2026-03-04,Trade:NVDA_2026-03-04,Decision:NVDA_2026-03-04,0.31373,0.0051,CorrectPrediction,high
NVDA,2026-03-25,Trade:NVDA_2026-03-25,Decision:NVDA_2026-03-25,0.02696,-0.05284,WrongPrediction,high
NVDA,2026-04-16,Trade:NVDA_2026-04-16,Decision:NVDA_2026-04-16,0.33936,0.00715,CorrectPrediction,high
NVDA,2026-05-07,Trade:NVDA_2026-05-07,Decision:NVDA_2026-05-07,0.35,-0.027,WrongPrediction,high
NVDA,2026-05-29,Trade:NVDA_2026-05-29,Decision:NVDA_2026-05-29,0.35,-0.027,WrongPrediction,high
TSLA,2025-01-16,Trade:TSLA_2025-01-16,Decision:TSLA_2025-01-16,0.04158,-0.05167,WrongPrediction,high
TSLA,2025-02-07,Trade:TSLA_2025-02-07,Decision:TSLA_2025-02-07,0.02497,-0.018,WrongPrediction,high
TSLA,2025-03-03,Trade:TSLA_2025-03-03,Decision:TSLA_2025-03-03,0.0,-0.055,WrongPrediction,high
TSLA,2025-03-24,Trade:TSLA_2025-03-24,Decision:TSLA_2025-03-24,0.0,-0.055,WrongPrediction,high
TSLA,2025-04-14,Trade:TSLA_2025-04-14,Decision:TSLA_2025-04-14,0.14138,-0.04369,WrongPrediction,high
TSLA,2025-05-06,Trade:TSLA_2025-05-06,Decision:TSLA_2025-05-06,0.1575,-0.0424,WrongPrediction,high
TSLA,2025-05-28,Trade:TSLA_2025-05-28,Decision:TSLA_2025-05-28,0.1575,-0.0424,WrongPrediction,high
TSLA,2025-06-18,Trade:TSLA_2025-06-18,Decision:TSLA_2025-06-18,0.00447,-0.05464,WrongPrediction,high
TSLA,2025-07-11,Trade:TSLA_2025-07-11,Decision:TSLA_2025-07-11,0.11664,-0.04567,WrongPrediction,high
TSLA,2025-08-01,Trade:TSLA_2025-08-01,Decision:TSLA_2025-08-01,0.0,-0.055,WrongPrediction,high
TSLA,2025-08-22,Trade:TSLA_2025-08-22,Decision:TSLA_2025-08-22,0.35,-0.027,WrongPrediction,high
TSLA,2025-09-15,Trade:TSLA_2025-09-15,Decision:TSLA_2025-09-15,0.35,-0.027,WrongPrediction,high
TSLA,2025-10-06,Trade:TSLA_2025-10-06,Decision:TSLA_2025-10-06,0.35,-0.027,WrongPrediction,high
TSLA,2025-10-27,Trade:TSLA_2025-10-27,Decision:TSLA_2025-10-27,0.35,-0.027,WrongPrediction,high
TSLA,2025-11-17,Trade:TSLA_2025-11-17,Decision:TSLA_2025-11-17,0.02756,-0.0178,WrongPrediction,high
TSLA,2025-12-09,Trade:TSLA_2025-12-09,Decision:TSLA_2025-12-09,0.19236,-0.00461,WrongPrediction,high
TSLA,2025-12-31,Trade:TSLA_2025-12-31,Decision:TSLA_2025-12-31,0.35,-0.027,WrongPrediction,high
TSLA,2026-01-23,Trade:TSLA_2026-01-23,Decision:TSLA_2026-01-23,0.18988,-0.00481,WrongPrediction,high
TSLA,2026-02-13,Trade:TSLA_2026-02-13,Decision:TSLA_2026-02-13,0.12071,-0.04534,WrongPrediction,high
TSLA,2026-03-09,Trade:TSLA_2026-03-09,Decision:TSLA_2026-03-09,0.09366,-0.01251,WrongPrediction,high
TSLA,2026-03-30,Trade:TSLA_2026-03-30,Decision:TSLA_2026-03-30,0.0,-0.055,WrongPrediction,high
TSLA,2026-04-21,Trade:TSLA_2026-04-21,Decision:TSLA_2026-04-21,0.20949,-0.00324,WrongPrediction,high
TSLA,2026-05-12,Trade:TSLA_2026-05-12,Decision:TSLA_2026-05-12,0.35,-0.027,WrongPrediction,high
TSLA,2026-06-03,Trade:TSLA_2026-06-03,Decision:TSLA_2026-06-03,0.35,-0.027,WrongPrediction,high
JPM,2025-01-22,Trade:JPM_2025-01-22,Decision:JPM_2025-01-22,0.55,-0.011,WrongPrediction,medium
JPM,2025-02-12,Trade:JPM_2025-02-12,Decision:JPM_2025-02-12,0.55,-0.011,WrongPrediction,medium
JPM,2025-03-06,Trade:JPM_2025-03-06,Decision:JPM_2025-03-06,0.09538,-0.01237,WrongPrediction,medium
JPM,2025-03-27,Trade:JPM_2025-03-27,Decision:JPM_2025-03-27,0.06068,-0.05015,WrongPrediction,medium
JPM,2025-04-17,Trade:JPM_2025-04-17,Decision:JPM_2025-04-17,0.0,-0.055,WrongPrediction,medium
JPM,2025-05-09,Trade:JPM_2025-05-09,Decision:JPM_2025-05-09,0.2475,-0.0352,WrongPrediction,medium
JPM,2025-06-02,Trade:JPM_2025-06-02,Decision:JPM_2025-06-02,0.2475,-0.0352,WrongPrediction,medium
JPM,2025-06-24,Trade:JPM_2025-06-24,Decision:JPM_2025-06-24,0.2475,-0.0352,WrongPrediction,medium
JPM,2025-07-16,Trade:JPM_2025-07-16,Decision:JPM_2025-07-16,0.49951,0.01996,CorrectPrediction,medium
JPM,2025-08-06,Trade:JPM_2025-08-06,Decision:JPM_2025-08-06,0.44806,0.01584,CorrectPrediction,medium
JPM,2025-08-27,Trade:JPM_2025-08-27,Decision:JPM_2025-08-27,0.37816,0.01025,CorrectPrediction,medium
JPM,2025-09-18,Trade:JPM_2025-09-18,Decision:JPM_2025-09-18,0.55,-0.011,WrongPrediction,medium
JPM,2025-10-09,Trade:JPM_2025-10-09,Decision:JPM_2025-10-09,0.29974,0.00398,CorrectPrediction,medium
JPM,2025-10-30,Trade:JPM_2025-10-30,Decision:JPM_2025-10-30,0.43889,0.01511,CorrectPrediction,medium
JPM,2025-11-20,Trade:JPM_2025-11-20,Decision:JPM_2025-11-20,0.30647,0.00452,CorrectPrediction,medium
JPM,2025-12-12,Trade:JPM_2025-12-12,Decision:JPM_2025-12-12,0.37276,0.00982,CorrectPrediction,medium
JPM,2026-01-06,Trade:JPM_2026-01-06,Decision:JPM_2026-01-06,0.55,-0.011,WrongPrediction,medium
JPM,2026-01-28,Trade:JPM_2026-01-28,Decision:JPM_2026-01-28,0.1018,-0.01186,WrongPrediction,medium
JPM,2026-02-19,Trade:JPM_2026-02-19,Decision:JPM_2026-02-19,0.21373,-0.0029,WrongPrediction,medium
JPM,2026-03-12,Trade:JPM_2026-03-12,Decision:JPM_2026-03-12,0.0,-0.02,WrongPrediction,medium
JPM,2026-04-02,Trade:JPM_2026-04-02,Decision:JPM_2026-04-02,0.28454,0.00276,CorrectPrediction,medium
JPM,2026-04-24,Trade:JPM_2026-04-24,Decision:JPM_2026-04-24,0.55,-0.011,WrongPrediction,medium
JPM,2026-05-15,Trade:JPM_2026-05-15,Decision:JPM_2026-05-15,0.15848,-0.00732,WrongPrediction,medium
AMD,2025-01-02,Trade:AMD_2025-01-02,Decision:AMD_2025-01-02,0.0,-0.055,WrongPrediction,high
AMD,2025-01-27,Trade:AMD_2025-01-27,Decision:AMD_2025-01-27,0.0,-0.055,WrongPrediction,high
AMD,2025-02-18,Trade:AMD_2025-02-18,Decision:AMD_2025-02-18,0.0394,-0.05185,WrongPrediction,high
AMD,2025-03-11,Trade:AMD_2025-03-11,Decision:AMD_2025-03-11,0.0,-0.02,WrongPrediction,high
AMD,2025-04-01,Trade:AMD_2025-04-01,Decision:AMD_2025-04-01,0.22203,-0.00224,WrongPrediction,high
AMD,2025-04-23,Trade:AMD_2025-04-23,Decision:AMD_2025-04-23,0.0,-0.055,WrongPrediction,high
AMD,2025-05-14,Trade:AMD_2025-05-14,Decision:AMD_2025-05-14,0.1575,-0.0424,WrongPrediction,high
AMD,2025-06-05,Trade:AMD_2025-06-05,Decision:AMD_2025-06-05,0.1575,-0.0424,WrongPrediction,high
AMD,2025-06-27,Trade:AMD_2025-06-27,Decision:AMD_2025-06-27,0.1575,-0.0424,WrongPrediction,high
AMD,2025-07-21,Trade:AMD_2025-07-21,Decision:AMD_2025-07-21,0.35,-0.027,WrongPrediction,high
AMD,2025-08-11,Trade:AMD_2025-08-11,Decision:AMD_2025-08-11,0.35,-0.027,WrongPrediction,high
AMD,2025-09-02,Trade:AMD_2025-09-02,Decision:AMD_2025-09-02,0.12256,-0.0102,WrongPrediction,high
AMD,2025-09-23,Trade:AMD_2025-09-23,Decision:AMD_2025-09-23,0.17743,-0.00581,WrongPrediction,high
AMD,2025-10-14,Trade:AMD_2025-10-14,Decision:AMD_2025-10-14,0.21,-0.0382,WrongPrediction,high
AMD,2025-11-04,Trade:AMD_2025-11-04,Decision:AMD_2025-11-04,0.21,-0.0382,WrongPrediction,high
AMD,2025-11-25,Trade:AMD_2025-11-25,Decision:AMD_2025-11-25,0.0,-0.055,WrongPrediction,high
AMD,2025-12-17,Trade:AMD_2025-12-17,Decision:AMD_2025-12-17,0.0,-0.055,WrongPrediction,high
AMD,2026-01-09,Trade:AMD_2026-01-09,Decision:AMD_2026-01-09,0.0,-0.055,WrongPrediction,high
AMD,2026-02-02,Trade:AMD_2026-02-02,Decision:AMD_2026-02-02,0.35,-0.027,WrongPrediction,high
AMD,2026-02-24,Trade:AMD_2026-02-24,Decision:AMD_2026-02-24,0.0,-0.055,WrongPrediction,high
AMD,2026-03-17,Trade:AMD_2026-03-17,Decision:AMD_2026-03-17,0.0,-0.02,WrongPrediction,high
AMD,2026-04-08,Trade:AMD_2026-04-08,Decision:AMD_2026-04-08,0.35,-0.027,WrongPrediction,high
AMD,2026-04-29,Trade:AMD_2026-04-29,Decision:AMD_2026-04-29,0.21,-0.0382,WrongPrediction,high
AMD,2026-05-20,Trade:AMD_2026-05-20,Decision:AMD_2026-05-20,0.21,-0.0382,WrongPrediction,high
