asset,date,memory_id,reflection_id,outcome,error_or_success_pattern,trust_update_rule
AAPL,2025-01-02,Memory:AAPL_2025-01-02,Reflection:AAPL_2025-01-02,CorrectPrediction,TrendFollowWorked,increase reliable agents
AAPL,2025-01-27,Memory:AAPL_2025-01-27,Reflection:AAPL_2025-01-27,WrongPrediction,WeakSignalNoise,reduce noisy agents
AAPL,2025-02-18,Memory:AAPL_2025-02-18,Reflection:AAPL_2025-02-18,CorrectPrediction,TrendFollowWorked,increase reliable agents
AAPL,2025-03-11,Memory:AAPL_2025-03-11,Reflection:AAPL_2025-03-11,WrongPrediction,WeakSignalNoise,reduce noisy agents
AAPL,2025-04-01,Memory:AAPL_2025-04-01,Reflection:AAPL_2025-04-01,WrongPrediction,OverRiskControlled,reduce noisy agents
AAPL,2025-04-23,Memory:AAPL_2025-04-23,Reflection:AAPL_2025-04-23,WrongPrediction,OverRiskControlled,reduce noisy agents
AAPL,2025-05-14,Memory:AAPL_2025-05-14,Reflection:AAPL_2025-05-14,WrongPrediction,OverRiskControlled,reduce noisy agents
AAPL,2025-06-05,Memory:AAPL_2025-06-05,Reflection:AAPL_2025-06-05,WrongPrediction,OverRiskControlled,reduce noisy agents
AAPL,2025-06-27,Memory:AAPL_2025-06-27,Reflection:AAPL_2025-06-27,WrongPrediction,OverRiskControlled,reduce noisy agents
AAPL,2025-07-21,Memory:AAPL_2025-07-21,Reflection:AAPL_2025-07-21,WrongPrediction,OverRiskControlled,reduce noisy agents
AAPL,2025-08-11,Memory:AAPL_2025-08-11,Reflection:AAPL_2025-08-11,WrongPrediction,OverRiskControlled,reduce noisy agents
AAPL,2025-09-02,Memory:AAPL_2025-09-02,Reflection:AAPL_2025-09-02,WrongPrediction,OverRiskControlled,reduce noisy agents
AAPL,2025-09-23,Memory:AAPL_2025-09-23,Reflection:AAPL_2025-09-23,WrongPrediction,OverRiskControlled,reduce noisy agents
AAPL,2025-10-14,Memory:AAPL_2025-10-14,Reflection:AAPL_2025-10-14,CorrectPrediction,TrendFollowWorked,increase reliable agents
AAPL,2025-11-04,Memory:AAPL_2025-11-04,Reflection:AAPL_2025-11-04,CorrectPrediction,TrendFollowWorked,increase reliable agents
AAPL,2025-11-25,Memory:AAPL_2025-11-25,Reflection:AAPL_2025-11-25,CorrectPrediction,TrendFollowWorked,increase reliable agents
AAPL,2025-12-17,Memory:AAPL_2025-12-17,Reflection:AAPL_2025-12-17,CorrectPrediction,TrendFollowWorked,increase reliable agents
AAPL,2026-01-09,Memory:AAPL_2026-01-09,Reflection:AAPL_2026-01-09,WrongPrediction,WeakSignalNoise,reduce noisy agents
