edge_id,source,target,predicate,predicate_safe,date,source_system,confidence
E1,Asset:AAPL,AgentHistory:AAPL,HAS_AGENT_HISTORY,HAS_AGENT_HISTORY,,real_agent_history,1.0
E2,MarketSnapshot:AAPL_2025-09-04,Asset:AAPL,SNAPSHOT_OF,SNAPSHOT_OF,2025-09-04,real_agent_history,1.0
E3,DailyBacktest:AAPL_2025-09-04,Asset:AAPL,DAILY_RESULT_OF,DAILY_RESULT_OF,2025-09-04,real_agent_history,1.0
E4,DailyBacktest:AAPL_2025-09-04,AgentValue:100439.45819508773,HAS_AGENT_VALUE,HAS_AGENT_VALUE,2025-09-04,real_agent_history,1.0
E5,DailyBacktest:AAPL_2025-09-04,BuyHoldValue:100549.32274385967,HAS_BUY_HOLD_VALUE,HAS_BUY_HOLD_VALUE,2025-09-04,real_agent_history,1.0
E6,DailyBacktest:AAPL_2025-09-04,Position:0.8,HAS_AGENT_POSITION,HAS_AGENT_POSITION,2025-09-04,real_agent_history,1.0
E7,Asset:AAPL,AssetClass:mega-cap stock,HAS_ASSET_CLASS,HAS_ASSET_CLASS,,real_agent_history,1.0
E8,Asset:AAPL,RiskStyle:medium_volatility,HAS_RISK_STYLE,HAS_RISK_STYLE,,real_agent_history,1.0
E9,MarketSnapshot:AAPL_2025-09-05,Asset:AAPL,SNAPSHOT_OF,SNAPSHOT_OF,2025-09-05,real_agent_history,1.0
E10,DailyBacktest:AAPL_2025-09-05,Asset:AAPL,DAILY_RESULT_OF,DAILY_RESULT_OF,2025-09-05,real_agent_history,1.0
E11,DailyBacktest:AAPL_2025-09-05,AgentValue:100409.30691505318,HAS_AGENT_VALUE,HAS_AGENT_VALUE,2025-09-05,real_agent_history,1.0
E12,DailyBacktest:AAPL_2025-09-05,BuyHoldValue:100511.59241802689,HAS_BUY_HOLD_VALUE,HAS_BUY_HOLD_VALUE,2025-09-05,real_agent_history,1.0
E13,DailyBacktest:AAPL_2025-09-05,Position:0.8,HAS_AGENT_POSITION,HAS_AGENT_POSITION,2025-09-05,real_agent_history,1.0
E14,Asset:AAPL,AssetClass:mega-cap stock,HAS_ASSET_CLASS,HAS_ASSET_CLASS,,real_agent_history,1.0
E15,Asset:AAPL,RiskStyle:medium_volatility,HAS_RISK_STYLE,HAS_RISK_STYLE,,real_agent_history,1.0
E16,MarketSnapshot:AAPL_2025-09-08,Asset:AAPL,SNAPSHOT_OF,SNAPSHOT_OF,2025-09-08,real_agent_history,1.0
E17,DailyBacktest:AAPL_2025-09-08,Asset:AAPL,DAILY_RESULT_OF,DAILY_RESULT_OF,2025-09-08,real_agent_history,1.0
E18,DailyBacktest:AAPL_2025-09-08,AgentValue:99802.72325599387,HAS_AGENT_VALUE,HAS_AGENT_VALUE,2025-09-08,real_agent_history,1.0
E19,DailyBacktest:AAPL_2025-09-08,BuyHoldValue:99752.59044674567,HAS_BUY_HOLD_VALUE,HAS_BUY_HOLD_VALUE,2025-09-08,real_agent_history,1.0
E20,DailyBacktest:AAPL_2025-09-08,Position:0.8,HAS_AGENT_POSITION,HAS_AGENT_POSITION,2025-09-08,real_agent_history,1.0
E21,Asset:AAPL,AssetClass:mega-cap stock,HAS_ASSET_CLASS,HAS_ASSET_CLASS,,real_agent_history,1.0
E22,Asset:AAPL,RiskStyle:medium_volatility,HAS_RISK_STYLE,HAS_RISK_STYLE,,real_agent_history,1.0
E23,MarketSnapshot:AAPL_2025-09-09,Asset:AAPL,SNAPSHOT_OF,SNAPSHOT_OF,2025-09-09,real_agent_history,1.0
E24,DailyBacktest:AAPL_2025-09-09,Asset:AAPL,DAILY_RESULT_OF,DAILY_RESULT_OF,2025-09-09,real_agent_history,1.0
E25,DailyBacktest:AAPL_2025-09-09,AgentValue:98617.91434389936,HAS_AGENT_VALUE,HAS_AGENT_VALUE,2025-09-09,real_agent_history,1.0
E26,DailyBacktest:AAPL_2025-09-09,BuyHoldValue:98272.32324673819,HAS_BUY_HOLD_VALUE,HAS_BUY_HOLD_VALUE,2025-09-09,real_agent_history,1.0
E27,DailyBacktest:AAPL_2025-09-09,Position:0.8,HAS_AGENT_POSITION,HAS_AGENT_POSITION,2025-09-09,real_agent_history,1.0
E28,Asset:AAPL,AssetClass:mega-cap stock,HAS_ASSET_CLASS,HAS_ASSET_CLASS,,real_agent_history,1.0
E29,Asset:AAPL,RiskStyle:medium_volatility,HAS_RISK_STYLE,HAS_RISK_STYLE,,real_agent_history,1.0
E30,MarketSnapshot:AAPL_2025-09-10,Asset:AAPL,SNAPSHOT_OF,SNAPSHOT_OF,2025-09-10,real_agent_history,1.0
E31,DailyBacktest:AAPL_2025-09-10,Asset:AAPL,DAILY_RESULT_OF,DAILY_RESULT_OF,2025-09-10,real_agent_history,1.0
E32,DailyBacktest:AAPL_2025-09-10,AgentValue:96072.81942042895,HAS_AGENT_VALUE,HAS_AGENT_VALUE,2025-09-10,real_agent_history,1.0
E33,DailyBacktest:AAPL_2025-09-10,BuyHoldValue:95102.10320257959,HAS_BUY_HOLD_VALUE,HAS_BUY_HOLD_VALUE,2025-09-10,real_agent_history,1.0
E34,DailyBacktest:AAPL_2025-09-10,Position:0.8,HAS_AGENT_POSITION,HAS_AGENT_POSITION,2025-09-10,real_agent_history,1.0
E35,Asset:AAPL,AssetClass:mega-cap stock,HAS_ASSET_CLASS,HAS_ASSET_CLASS,,real_agent_history,1.0
E36,Asset:AAPL,RiskStyle:medium_volatility,HAS_RISK_STYLE,HAS_RISK_STYLE,,real_agent_history,1.0
E37,MarketSnapshot:AAPL_2025-09-11,Asset:AAPL,SNAPSHOT_OF,SNAPSHOT_OF,2025-09-11,real_agent_history,1.0
E38,DailyBacktest:AAPL_2025-09-11,Asset:AAPL,DAILY_RESULT_OF,DAILY_RESULT_OF,2025-09-11,real_agent_history,1.0
E39,DailyBacktest:AAPL_2025-09-11,AgentValue:97170.84494969758,HAS_AGENT_VALUE,HAS_AGENT_VALUE,2025-09-11,real_agent_history,1.0
E40,DailyBacktest:AAPL_2025-09-11,BuyHoldValue:96460.76710244126,HAS_BUY_HOLD_VALUE,HAS_BUY_HOLD_VALUE,2025-09-11,real_agent_history,1.0
E41,DailyBacktest:AAPL_2025-09-11,Position:0.8,HAS_AGENT_POSITION,HAS_AGENT_POSITION,2025-09-11,real_agent_history,1.0
E42,Asset:AAPL,AssetClass:mega-cap stock,HAS_ASSET_CLASS,HAS_ASSET_CLASS,,real_agent_history,1.0
E43,Asset:AAPL,RiskStyle:medium_volatility,HAS_RISK_STYLE,HAS_RISK_STYLE,,real_agent_history,1.0
E44,MarketSnapshot:AAPL_2025-09-12,Asset:AAPL,SNAPSHOT_OF,SNAPSHOT_OF,2025-09-12,real_agent_history,1.0
E45,DailyBacktest:AAPL_2025-09-12,Asset:AAPL,DAILY_RESULT_OF,DAILY_RESULT_OF,2025-09-12,real_agent_history,1.0
E46,DailyBacktest:AAPL_2025-09-12,AgentValue:98536.13621320605,HAS_AGENT_VALUE,HAS_AGENT_VALUE,2025-09-12,real_agent_history,1.0
E47,DailyBacktest:AAPL_2025-09-12,BuyHoldValue:98154.91006611085,HAS_BUY_HOLD_VALUE,HAS_BUY_HOLD_VALUE,2025-09-12,real_agent_history,1.0
E48,DailyBacktest:AAPL_2025-09-12,Position:0.8,HAS_AGENT_POSITION,HAS_AGENT_POSITION,2025-09-12,real_agent_history,1.0
E49,Asset:AAPL,AssetClass:mega-cap stock,HAS_ASSET_CLASS,HAS_ASSET_CLASS,,real_agent_history,1.0
E50,Asset:AAPL,RiskStyle:medium_volatility,HAS_RISK_STYLE,HAS_RISK_STYLE,,real_agent_history,1.0
E51,MarketSnapshot:AAPL_2025-09-15,Asset:AAPL,SNAPSHOT_OF,SNAPSHOT_OF,2025-09-15,real_agent_history,1.0
E52,DailyBacktest:AAPL_2025-09-15,Asset:AAPL,DAILY_RESULT_OF,DAILY_RESULT_OF,2025-09-15,real_agent_history,1.0
E53,DailyBacktest:AAPL_2025-09-15,AgentValue:99421.84682211492,HAS_AGENT_VALUE,HAS_AGENT_VALUE,2025-09-15,real_agent_history,1.0
E54,DailyBacktest:AAPL_2025-09-15,BuyHoldValue:99257.76492351493,HAS_BUY_HOLD_VALUE,HAS_BUY_HOLD_VALUE,2025-09-15,real_agent_history,1.0
E55,DailyBacktest:AAPL_2025-09-15,Position:0.8,HAS_AGENT_POSITION,HAS_AGENT_POSITION,2025-09-15,real_agent_history,1.0
E56,Asset:AAPL,AssetClass:mega-cap stock,HAS_ASSET_CLASS,HAS_ASSET_CLASS,,real_agent_history,1.0
E57,Asset:AAPL,RiskStyle:medium_volatility,HAS_RISK_STYLE,HAS_RISK_STYLE,,real_agent_history,1.0
E58,MarketSnapshot:AAPL_2025-09-16,Asset:AAPL,SNAPSHOT_OF,SNAPSHOT_OF,2025-09-16,real_agent_history,1.0
E59,DailyBacktest:AAPL_2025-09-16,Asset:AAPL,DAILY_RESULT_OF,DAILY_RESULT_OF,2025-09-16,real_agent_history,1.0
E60,DailyBacktest:AAPL_2025-09-16,AgentValue:99909.08467436225,HAS_AGENT_VALUE,HAS_AGENT_VALUE,2025-09-16,real_agent_history,1.0
E61,DailyBacktest:AAPL_2025-09-16,BuyHoldValue:99865.80709113243,HAS_BUY_HOLD_VALUE,HAS_BUY_HOLD_VALUE,2025-09-16,real_agent_history,1.0
E62,DailyBacktest:AAPL_2025-09-16,Position:0.8,HAS_AGENT_POSITION,HAS_AGENT_POSITION,2025-09-16,real_agent_history,1.0
E63,Asset:AAPL,AssetClass:mega-cap stock,HAS_ASSET_CLASS,HAS_ASSET_CLASS,,real_agent_history,1.0
E64,Asset:AAPL,RiskStyle:medium_volatility,HAS_RISK_STYLE,HAS_RISK_STYLE,,real_agent_history,1.0
E65,MarketSnapshot:AAPL_2025-09-17,Asset:AAPL,SNAPSHOT_OF,SNAPSHOT_OF,2025-09-17,real_agent_history,1.0
E66,DailyBacktest:AAPL_2025-09-17,Asset:AAPL,DAILY_RESULT_OF,DAILY_RESULT_OF,2025-09-17,real_agent_history,1.0
