id,label,name
Asset:AAPL,Asset,AAPL
AgentHistory:AAPL,AgentHistory,AAPL
MarketSnapshot:AAPL_2025-09-04,MarketSnapshot,AAPL_2025-09-04
DailyBacktest:AAPL_2025-09-04,DailyBacktest,AAPL_2025-09-04
AgentValue:100439.45819508773,AgentValue,100439.45819508773
BuyHoldValue:100549.32274385967,BuyHoldValue,100549.32274385967
Position:0.8,Position,0.8
AssetClass:mega-cap stock,AssetClass,mega-cap stock
RiskStyle:medium_volatility,RiskStyle,medium_volatility
MarketSnapshot:AAPL_2025-09-05,MarketSnapshot,AAPL_2025-09-05
DailyBacktest:AAPL_2025-09-05,DailyBacktest,AAPL_2025-09-05
AgentValue:100409.30691505318,AgentValue,100409.30691505318
BuyHoldValue:100511.59241802689,BuyHoldValue,100511.59241802689
MarketSnapshot:AAPL_2025-09-08,MarketSnapshot,AAPL_2025-09-08
DailyBacktest:AAPL_2025-09-08,DailyBacktest,AAPL_2025-09-08
AgentValue:99802.72325599387,AgentValue,99802.72325599387
BuyHoldValue:99752.59044674567,BuyHoldValue,99752.59044674567
MarketSnapshot:AAPL_2025-09-09,MarketSnapshot,AAPL_2025-09-09
DailyBacktest:AAPL_2025-09-09,DailyBacktest,AAPL_2025-09-09
AgentValue:98617.91434389936,AgentValue,98617.91434389936
BuyHoldValue:98272.32324673819,BuyHoldValue,98272.32324673819
MarketSnapshot:AAPL_2025-09-10,MarketSnapshot,AAPL_2025-09-10
DailyBacktest:AAPL_2025-09-10,DailyBacktest,AAPL_2025-09-10
AgentValue:96072.81942042895,AgentValue,96072.81942042895
BuyHoldValue:95102.10320257959,BuyHoldValue,95102.10320257959
MarketSnapshot:AAPL_2025-09-11,MarketSnapshot,AAPL_2025-09-11
DailyBacktest:AAPL_2025-09-11,DailyBacktest,AAPL_2025-09-11
AgentValue:97170.84494969758,AgentValue,97170.84494969758
BuyHoldValue:96460.76710244126,BuyHoldValue,96460.76710244126
MarketSnapshot:AAPL_2025-09-12,MarketSnapshot,AAPL_2025-09-12
