agent_weights,bear_score,bull_score,correct_or_not,date,final_action,market_regime,next_return,recommendation_score,reflection_summary,risk_score,risk_veto_applied,risk_veto_reasons,target_position,technical_signal,ticker
"{""technical"": 0.25, ""bull"": 0.25, ""bear"": 0.12, ""risk"": 0.15, ""debate_judge"": 0.23}",3.0,4.0,True,2025-09-03,BUY,bullish,0.005493227438596593,4.0,"Next return=0.5493%. Correct agents: technical, bull, risk, debate_judge. Wrong agents: bear. Risk veto avoided loss: no.",2.0,False,,0.8,BUY,AAPL
"{""technical"": 0.250463, ""bull"": 0.250463, ""bear"": 0.118369, ""risk"": 0.150278, ""debate_judge"": 0.230426}",4.0,3.0,False,2025-09-30,SELL,bullish,0.0032203038937570483,2.0,"Next return=0.3220%. Correct agents: none. Wrong agents: technical, bull, bear, risk, debate_judge. Risk veto avoided loss: no.",5.0,False,,0.0,SELL,AAPL
"{""technical"": 0.250817, ""bull"": 0.250817, ""bear"": 0.118253, ""risk"": 0.150045, ""debate_judge"": 0.230069}",4.0,5.0,True,2025-10-28,BUY,bullish,0.0026023570250897077,4.0,"Next return=0.2602%. Correct agents: technical, bull, debate_judge. Wrong agents: bear, risk. Risk veto avoided loss: no.",3.0,False,,0.8,BUY,AAPL
"{""technical"": 0.251815, ""bull"": 0.251815, ""bear"": 0.116989, ""risk"": 0.14836, ""debate_judge"": 0.23102}",3.0,4.0,True,2025-11-25,SELL,bullish,0.002094178534708613,2.0,"Next return=0.2094%. Correct agents: bull. Wrong agents: technical, bear, risk, debate_judge. Risk veto avoided loss: no.",4.0,False,,0.6,HOLD,AAPL
"{""technical"": 0.162232, ""bull"": 0.102633, ""bear"": 0.244882, ""risk"": 0.248308, ""debate_judge"": 0.241945}",4.0,2.0,True,2025-12-24,SELL,bearish,-0.0014972809650133367,2.0,"Next return=-0.1497%. Correct agents: technical, bull, bear, risk, debate_judge. Wrong agents: none. Risk veto avoided loss: no.",4.0,False,,0.0,SELL,AAPL
"{""technical"": 0.162118, ""bull"": 0.102499, ""bear"": 0.245143, ""risk"": 0.248395, ""debate_judge"": 0.241846}",4.0,2.0,False,2026-01-26,HOLD,bearish,0.011197599163490057,2.0,"Next return=1.1198%. Correct agents: none. Wrong agents: technical, bull, bear, risk, debate_judge. Risk veto avoided loss: no.",4.0,False,,0.0,SELL,AAPL
"{""technical"": 0.251633, ""bull"": 0.254479, ""bear"": 0.116656, ""risk"": 0.147684, ""debate_judge"": 0.229548}",3.0,4.0,True,2026-02-24,BUY,bullish,0.007679860855135612,4.0,"Next return=0.7680%. Correct agents: technical, bull, risk, debate_judge. Wrong agents: bear. Risk veto avoided loss: no.",2.0,False,,0.8,BUY,AAPL
"{""technical"": 0.162916, ""bull"": 0.102916, ""bear"": 0.242478, ""risk"": 0.249276, ""debate_judge"": 0.242414}",4.0,2.0,False,2026-03-24,SELL,bearish,0.0038944425565474727,2.0,"Next return=0.3894%. Correct agents: none. Wrong agents: technical, bull, bear, risk, debate_judge. Risk veto avoided loss: no.",4.0,False,,0.0,SELL,AAPL
"{""technical"": 0.252336, ""bull"": 0.254981, ""bear"": 0.115198, ""risk"": 0.147886, ""debate_judge"": 0.229599}",3.0,4.0,True,2026-04-22,BUY,bullish,0.0009516944880663125,4.0,"Next return=0.0952%. Correct agents: technical, bull, debate_judge. Wrong agents: bear, risk. Risk veto avoided loss: no.",3.0,False,,0.8,BUY,AAPL
"{""technical"": 0.253244, ""bull"": 0.255767, ""bear"": 0.114101, ""risk"": 0.146336, ""debate_judge"": 0.230552}",4.0,3.0,False,2026-05-20,SELL,bullish,0.009065310949131433,2.0,"Next return=0.9065%. Correct agents: none. Wrong agents: technical, bull, bear, risk, debate_judge. Risk veto avoided loss: no.",5.0,False,,0.2,HOLD,AAPL
