asset_class,date,market_regime,risk_style,ticker,trust_bear,trust_bull,trust_debate_judge,trust_risk,trust_technical,weight_bear,weight_bull,weight_debate_judge,weight_risk,weight_technical
mega-cap stock,2025-09-03,bullish,medium_volatility,AAPL,0.5,0.5,0.5,0.5,0.5,0.12,0.25,0.23,0.15,0.25
mega-cap stock,2025-09-30,bullish,medium_volatility,AAPL,0.494,0.52,0.52,0.52,0.52,0.118369,0.250463,0.230426,0.150278,0.250463
mega-cap stock,2025-10-28,bullish,medium_volatility,AAPL,0.48824,0.51818,0.5132,0.5132,0.51818,0.118253,0.250817,0.230069,0.150045,0.250817
mega-cap stock,2025-11-25,bullish,medium_volatility,AAPL,0.48271,0.537453,0.532672,0.506672,0.537453,0.116989,0.251815,0.23102,0.14836,0.251815
mega-cap stock,2025-12-24,bearish,medium_volatility,AAPL,0.477402,0.555955,0.525365,0.500405,0.535179,0.244882,0.102633,0.241945,0.248308,0.162232
mega-cap stock,2026-01-26,bearish,medium_volatility,AAPL,0.498306,0.573717,0.54435,0.520389,0.553772,0.245143,0.102499,0.241846,0.248395,0.162118
mega-cap stock,2026-02-24,bullish,medium_volatility,AAPL,0.492374,0.5705,0.536576,0.513573,0.551074,0.116656,0.254479,0.229548,0.147684,0.251633
mega-cap stock,2026-03-24,bearish,medium_volatility,AAPL,0.486679,0.58768,0.555113,0.53303,0.569031,0.242478,0.102916,0.242414,0.249276,0.162916
mega-cap stock,2026-04-22,bullish,medium_volatility,AAPL,0.481212,0.5841,0.546908,0.525709,0.565936,0.115198,0.254981,0.229599,0.147886,0.252336
mega-cap stock,2026-05-20,bullish,medium_volatility,AAPL,0.475964,0.600736,0.565032,0.518681,0.583299,0.114101,0.255767,0.230552,0.146336,0.253244
,2025-08-29,sideways,,IVV,0.5,0.5,0.5,0.5,0.5,0.16,0.14,0.2,0.25,0.25
,2025-09-25,bullish,,IVV,0.494,0.4987,0.494,0.494,0.4987,0.11983,0.250353,0.229675,0.149788,0.250353
,2025-10-23,bearish,,IVV,0.48824,0.497434,0.48824,0.51424,0.497434,0.248664,0.100018,0.238718,0.252571,0.160029
,2025-11-20,sideways,,IVV,0.48271,0.496201,0.48271,0.50767,0.496201,0.158892,0.140168,0.198615,0.252026,0.250299
,2025-12-18,bearish,,IVV,0.477402,0.495,0.477402,0.527363,0.495,0.247432,0.100032,0.237534,0.254951,0.160051
,2026-01-15,sideways,,IVV,0.472306,0.49383,0.472306,0.520268,0.49383,0.158034,0.140096,0.197543,0.254155,0.250172
,2026-02-12,sideways,,IVV,0.467414,0.514077,0.493414,0.539457,0.49269,0.156545,0.140889,0.198795,0.255386,0.248385
,2026-03-12,bullish,,IVV,0.462717,0.512411,0.487677,0.531879,0.49158,0.117423,0.252093,0.228509,0.153009,0.248965
,2026-04-09,bullish,,IVV,0.458208,0.531915,0.48217,0.524604,0.490499,0.116978,0.25476,0.227515,0.152198,0.248548
,2026-05-07,sideways,,IVV,0.47988,0.529785,0.502883,0.54362,0.489446,0.157145,0.141669,0.199176,0.255044,0.246966
mega-cap stock,2025-09-03,bearish,medium_volatility,MSFT,0.5,0.5,0.5,0.5,0.5,0.25,0.1,0.24,0.25,0.16
mega-cap stock,2025-09-30,bullish,medium_volatility,MSFT,0.494,0.4987,0.494,0.494,0.4987,0.11983,0.250353,0.229675,0.149788,0.250353
mega-cap stock,2025-10-28,bullish,medium_volatility,MSFT,0.48824,0.518752,0.51424,0.51424,0.518752,0.118205,0.2508,0.230118,0.150077,0.2508
mega-cap stock,2025-11-25,bearish,medium_volatility,MSFT,0.48271,0.516964,0.50767,0.50767,0.516964,0.246837,0.100785,0.240549,0.250572,0.161256
mega-cap stock,2025-12-24,sideways,medium_volatility,MSFT,0.477402,0.515223,0.501363,0.501363,0.515223,0.157553,0.14103,0.199812,0.249765,0.25184
mega-cap stock,2026-01-26,bearish,medium_volatility,MSFT,0.472306,0.513527,0.495308,0.495308,0.513527,0.24669,0.101158,0.240146,0.250153,0.161853
mega-cap stock,2026-02-24,bearish,medium_volatility,MSFT,0.467414,0.511875,0.489496,0.489496,0.511875,0.246622,0.101333,0.239957,0.249955,0.162133
