annual_return,annual_volatility,average_position,cvar_5,downside_deviation,final_value,max_drawdown,sharpe,sortino,ticker,total_return,trade_count,turnover,var_5,variant,win_rate
0.161719,0.121307,0.502128,-0.015952,0.086239,112323.79,-0.096918,1.333138,1.875246,AAPL,0.118323,7,3.2,-0.011953,single_agent_baseline,0.406417
0.126056,0.11284,0.430851,-0.015644,0.092228,109741.19,-0.10788,1.117116,1.36679,AAPL,0.09261,8,6.2,-0.009635,multi_agent_without_debate,0.294118
0.129597,0.110802,0.409574,-0.015318,0.091424,109998.59,-0.099925,1.169629,1.417546,AAPL,0.095173,9,6.2,-0.008903,multi_agent_with_debate,0.294118
0.129597,0.110802,0.409574,-0.015318,0.091424,109998.59,-0.099925,1.169629,1.417546,AAPL,0.095173,9,6.2,-0.008903,debate_plus_trust,0.294118
0.129597,0.110802,0.409574,-0.015318,0.091424,109998.59,-0.099925,1.169629,1.417546,AAPL,0.095173,9,6.2,-0.008903,debate_plus_trust_plus_risk_veto,0.294118
0.061251,0.10202,0.550785,-0.013766,0.069686,104110.68,-0.091885,0.600384,0.87896,IVV,0.046089,7,3.2,-0.010078,single_agent_baseline,0.468421
0.080831,0.111573,0.579058,-0.015176,0.077523,105310.78,-0.101059,0.724473,1.042672,IVV,0.060685,8,4.2,-0.01175,multi_agent_without_debate,0.415789
0.080831,0.111573,0.579058,-0.015176,0.077523,105310.78,-0.101059,0.724473,1.042672,IVV,0.060685,8,4.2,-0.01175,multi_agent_with_debate,0.415789
0.080831,0.111573,0.579058,-0.015176,0.077523,105310.78,-0.101059,0.724473,1.042672,IVV,0.060685,8,4.2,-0.01175,debate_plus_trust,0.415789
0.080831,0.111573,0.579058,-0.015176,0.077523,105310.78,-0.101059,0.724473,1.042672,IVV,0.060685,8,4.2,-0.01175,debate_plus_trust_plus_risk_veto,0.415789
-0.107188,0.113714,0.291489,-0.018825,0.112081,92079.95,-0.131266,-0.942611,-0.956345,MSFT,-0.081106,7,3.2,-0.011813,single_agent_baseline,0.278075
-0.125618,0.115473,0.27234,-0.019418,0.11842,90470.59,-0.152311,-1.087857,-1.060778,MSFT,-0.095294,6,3.2,-0.011813,multi_agent_without_debate,0.197861
-0.082351,0.111519,0.251064,-0.018534,0.124805,93789.77,-0.128829,-0.738451,-0.659841,MSFT,-0.062102,5,3.2,-0.011049,multi_agent_with_debate,0.160428
-0.082351,0.111519,0.251064,-0.018534,0.124805,93789.77,-0.128829,-0.738451,-0.659841,MSFT,-0.062102,5,3.2,-0.011049,debate_plus_trust,0.160428
-0.082351,0.111519,0.251064,-0.018534,0.124805,93789.77,-0.128829,-0.738451,-0.659841,MSFT,-0.062102,5,3.2,-0.011049,debate_plus_trust_plus_risk_veto,0.160428
0.025905,0.254617,0.589362,-0.034216,0.17086,102174.83,-0.157726,0.101742,0.151616,NVDA,0.019263,6,3.2,-0.028238,single_agent_baseline,0.44385
-0.120587,0.147595,0.295745,-0.024551,0.133522,90858.6,-0.153836,-0.817012,-0.903127,NVDA,-0.091414,7,3.6,-0.01866,multi_agent_without_debate,0.26738
-0.120587,0.147595,0.295745,-0.024551,0.133522,90858.6,-0.153836,-0.817012,-0.903127,NVDA,-0.091414,7,3.6,-0.01866,multi_agent_with_debate,0.26738
-0.129924,0.153275,0.305319,-0.024832,0.134676,90137.96,-0.163386,-0.847654,-0.964718,NVDA,-0.09862,7,3.8,-0.019458,debate_plus_trust,0.26738
-0.129924,0.153275,0.305319,-0.024832,0.134676,90137.96,-0.163386,-0.847654,-0.964718,NVDA,-0.09862,7,3.8,-0.019458,debate_plus_trust_plus_risk_veto,0.26738
0.061251,0.10202,0.550785,-0.013766,0.069686,104110.68,-0.091885,0.600384,0.87896,SPY,0.046089,7,3.2,-0.010078,single_agent_baseline,0.468421
0.084621,0.111787,0.6,-0.015176,0.077588,105590.49,-0.101059,0.756978,1.090647,SPY,0.063502,8,3.8,-0.01175,multi_agent_without_debate,0.473684
0.080831,0.111573,0.579058,-0.015176,0.077523,105310.78,-0.101059,0.724473,1.042672,SPY,0.060685,8,4.2,-0.01175,multi_agent_with_debate,0.415789
0.080831,0.111573,0.579058,-0.015176,0.077523,105310.78,-0.101059,0.724473,1.042672,SPY,0.060685,8,4.2,-0.01175,debate_plus_trust,0.415789
0.080831,0.111573,0.579058,-0.015176,0.077523,105310.78,-0.101059,0.724473,1.042672,SPY,0.060685,8,4.2,-0.01175,debate_plus_trust_plus_risk_veto,0.415789
0.086116,0.248765,0.461702,-0.038085,0.197576,106922.1,-0.141181,0.346176,0.435864,TSLA,0.063567,8,3.2,-0.028977,single_agent_baseline,0.433155
0.044888,0.164193,0.251064,-0.025182,0.145203,103879.38,-0.140068,0.273388,0.309143,TSLA,0.033301,7,2.8,-0.0193,multi_agent_without_debate,0.304813
0.044888,0.164193,0.251064,-0.025182,0.145203,103879.38,-0.140068,0.273388,0.309143,TSLA,0.033301,7,2.8,-0.0193,multi_agent_with_debate,0.304813
0.044888,0.164193,0.251064,-0.025182,0.145203,103879.38,-0.140068,0.273388,0.309143,TSLA,0.033301,7,2.8,-0.0193,debate_plus_trust,0.304813
0.044888,0.164193,0.251064,-0.025182,0.145203,103879.38,-0.140068,0.273388,0.309143,TSLA,0.033301,7,2.8,-0.0193,debate_plus_trust_plus_risk_veto,0.304813
0.061251,0.10202,0.550785,-0.013766,0.069686,104110.68,-0.091885,0.600384,0.87896,VOO,0.046089,7,3.2,-0.010078,single_agent_baseline,0.468421
0.084621,0.111787,0.6,-0.015176,0.077588,105590.49,-0.101059,0.756978,1.090647,VOO,0.063502,8,3.8,-0.01175,multi_agent_without_debate,0.473684
0.080831,0.111573,0.579058,-0.015176,0.077523,105310.78,-0.101059,0.724473,1.042672,VOO,0.060685,8,4.2,-0.01175,multi_agent_with_debate,0.415789
0.080831,0.111573,0.579058,-0.015176,0.077523,105310.78,-0.101059,0.724473,1.042672,VOO,0.060685,8,4.2,-0.01175,debate_plus_trust,0.415789
0.080831,0.111573,0.579058,-0.015176,0.077523,105310.78,-0.101059,0.724473,1.042672,VOO,0.060685,8,4.2,-0.01175,debate_plus_trust_plus_risk_veto,0.415789
