subject,predicate,object,date,source,confidence
Asset:AAPL,HAS_AGENT_HISTORY,AgentHistory:AAPL,,real_agent_history,1.0
MarketSnapshot:AAPL_2025-09-04,SNAPSHOT_OF,Asset:AAPL,2025-09-04,real_agent_history,1.0
DailyBacktest:AAPL_2025-09-04,DAILY_RESULT_OF,Asset:AAPL,2025-09-04,real_agent_history,1.0
DailyBacktest:AAPL_2025-09-04,HAS_AGENT_VALUE,AgentValue:100439.45819508773,2025-09-04,real_agent_history,1.0
DailyBacktest:AAPL_2025-09-04,HAS_BUY_HOLD_VALUE,BuyHoldValue:100549.32274385967,2025-09-04,real_agent_history,1.0
DailyBacktest:AAPL_2025-09-04,HAS_AGENT_POSITION,Position:0.8,2025-09-04,real_agent_history,1.0
Asset:AAPL,HAS_ASSET_CLASS,AssetClass:mega-cap stock,,real_agent_history,1.0
Asset:AAPL,HAS_RISK_STYLE,RiskStyle:medium_volatility,,real_agent_history,1.0
MarketSnapshot:AAPL_2025-09-05,SNAPSHOT_OF,Asset:AAPL,2025-09-05,real_agent_history,1.0
DailyBacktest:AAPL_2025-09-05,DAILY_RESULT_OF,Asset:AAPL,2025-09-05,real_agent_history,1.0
DailyBacktest:AAPL_2025-09-05,HAS_AGENT_VALUE,AgentValue:100409.30691505318,2025-09-05,real_agent_history,1.0
DailyBacktest:AAPL_2025-09-05,HAS_BUY_HOLD_VALUE,BuyHoldValue:100511.59241802689,2025-09-05,real_agent_history,1.0
DailyBacktest:AAPL_2025-09-05,HAS_AGENT_POSITION,Position:0.8,2025-09-05,real_agent_history,1.0
Asset:AAPL,HAS_ASSET_CLASS,AssetClass:mega-cap stock,,real_agent_history,1.0
Asset:AAPL,HAS_RISK_STYLE,RiskStyle:medium_volatility,,real_agent_history,1.0
MarketSnapshot:AAPL_2025-09-08,SNAPSHOT_OF,Asset:AAPL,2025-09-08,real_agent_history,1.0
DailyBacktest:AAPL_2025-09-08,DAILY_RESULT_OF,Asset:AAPL,2025-09-08,real_agent_history,1.0
DailyBacktest:AAPL_2025-09-08,HAS_AGENT_VALUE,AgentValue:99802.72325599387,2025-09-08,real_agent_history,1.0
DailyBacktest:AAPL_2025-09-08,HAS_BUY_HOLD_VALUE,BuyHoldValue:99752.59044674567,2025-09-08,real_agent_history,1.0
DailyBacktest:AAPL_2025-09-08,HAS_AGENT_POSITION,Position:0.8,2025-09-08,real_agent_history,1.0
Asset:AAPL,HAS_ASSET_CLASS,AssetClass:mega-cap stock,,real_agent_history,1.0
Asset:AAPL,HAS_RISK_STYLE,RiskStyle:medium_volatility,,real_agent_history,1.0
MarketSnapshot:AAPL_2025-09-09,SNAPSHOT_OF,Asset:AAPL,2025-09-09,real_agent_history,1.0
DailyBacktest:AAPL_2025-09-09,DAILY_RESULT_OF,Asset:AAPL,2025-09-09,real_agent_history,1.0
DailyBacktest:AAPL_2025-09-09,HAS_AGENT_VALUE,AgentValue:98617.91434389936,2025-09-09,real_agent_history,1.0
DailyBacktest:AAPL_2025-09-09,HAS_BUY_HOLD_VALUE,BuyHoldValue:98272.32324673819,2025-09-09,real_agent_history,1.0
DailyBacktest:AAPL_2025-09-09,HAS_AGENT_POSITION,Position:0.8,2025-09-09,real_agent_history,1.0
Asset:AAPL,HAS_ASSET_CLASS,AssetClass:mega-cap stock,,real_agent_history,1.0
Asset:AAPL,HAS_RISK_STYLE,RiskStyle:medium_volatility,,real_agent_history,1.0
MarketSnapshot:AAPL_2025-09-10,SNAPSHOT_OF,Asset:AAPL,2025-09-10,real_agent_history,1.0
DailyBacktest:AAPL_2025-09-10,DAILY_RESULT_OF,Asset:AAPL,2025-09-10,real_agent_history,1.0
DailyBacktest:AAPL_2025-09-10,HAS_AGENT_VALUE,AgentValue:96072.81942042895,2025-09-10,real_agent_history,1.0
DailyBacktest:AAPL_2025-09-10,HAS_BUY_HOLD_VALUE,BuyHoldValue:95102.10320257959,2025-09-10,real_agent_history,1.0
DailyBacktest:AAPL_2025-09-10,HAS_AGENT_POSITION,Position:0.8,2025-09-10,real_agent_history,1.0
Asset:AAPL,HAS_ASSET_CLASS,AssetClass:mega-cap stock,,real_agent_history,1.0
Asset:AAPL,HAS_RISK_STYLE,RiskStyle:medium_volatility,,real_agent_history,1.0
MarketSnapshot:AAPL_2025-09-11,SNAPSHOT_OF,Asset:AAPL,2025-09-11,real_agent_history,1.0
DailyBacktest:AAPL_2025-09-11,DAILY_RESULT_OF,Asset:AAPL,2025-09-11,real_agent_history,1.0
DailyBacktest:AAPL_2025-09-11,HAS_AGENT_VALUE,AgentValue:97170.84494969758,2025-09-11,real_agent_history,1.0
DailyBacktest:AAPL_2025-09-11,HAS_BUY_HOLD_VALUE,BuyHoldValue:96460.76710244126,2025-09-11,real_agent_history,1.0
DailyBacktest:AAPL_2025-09-11,HAS_AGENT_POSITION,Position:0.8,2025-09-11,real_agent_history,1.0
Asset:AAPL,HAS_ASSET_CLASS,AssetClass:mega-cap stock,,real_agent_history,1.0
Asset:AAPL,HAS_RISK_STYLE,RiskStyle:medium_volatility,,real_agent_history,1.0
MarketSnapshot:AAPL_2025-09-12,SNAPSHOT_OF,Asset:AAPL,2025-09-12,real_agent_history,1.0
DailyBacktest:AAPL_2025-09-12,DAILY_RESULT_OF,Asset:AAPL,2025-09-12,real_agent_history,1.0
DailyBacktest:AAPL_2025-09-12,HAS_AGENT_VALUE,AgentValue:98536.13621320605,2025-09-12,real_agent_history,1.0
DailyBacktest:AAPL_2025-09-12,HAS_BUY_HOLD_VALUE,BuyHoldValue:98154.91006611085,2025-09-12,real_agent_history,1.0
DailyBacktest:AAPL_2025-09-12,HAS_AGENT_POSITION,Position:0.8,2025-09-12,real_agent_history,1.0
Asset:AAPL,HAS_ASSET_CLASS,AssetClass:mega-cap stock,,real_agent_history,1.0
Asset:AAPL,HAS_RISK_STYLE,RiskStyle:medium_volatility,,real_agent_history,1.0
MarketSnapshot:AAPL_2025-09-15,SNAPSHOT_OF,Asset:AAPL,2025-09-15,real_agent_history,1.0
DailyBacktest:AAPL_2025-09-15,DAILY_RESULT_OF,Asset:AAPL,2025-09-15,real_agent_history,1.0
DailyBacktest:AAPL_2025-09-15,HAS_AGENT_VALUE,AgentValue:99421.84682211492,2025-09-15,real_agent_history,1.0
DailyBacktest:AAPL_2025-09-15,HAS_BUY_HOLD_VALUE,BuyHoldValue:99257.76492351493,2025-09-15,real_agent_history,1.0
DailyBacktest:AAPL_2025-09-15,HAS_AGENT_POSITION,Position:0.8,2025-09-15,real_agent_history,1.0
Asset:AAPL,HAS_ASSET_CLASS,AssetClass:mega-cap stock,,real_agent_history,1.0
Asset:AAPL,HAS_RISK_STYLE,RiskStyle:medium_volatility,,real_agent_history,1.0
MarketSnapshot:AAPL_2025-09-16,SNAPSHOT_OF,Asset:AAPL,2025-09-16,real_agent_history,1.0
DailyBacktest:AAPL_2025-09-16,DAILY_RESULT_OF,Asset:AAPL,2025-09-16,real_agent_history,1.0
DailyBacktest:AAPL_2025-09-16,HAS_AGENT_VALUE,AgentValue:99909.08467436225,2025-09-16,real_agent_history,1.0
DailyBacktest:AAPL_2025-09-16,HAS_BUY_HOLD_VALUE,BuyHoldValue:99865.80709113243,2025-09-16,real_agent_history,1.0
DailyBacktest:AAPL_2025-09-16,HAS_AGENT_POSITION,Position:0.8,2025-09-16,real_agent_history,1.0
Asset:AAPL,HAS_ASSET_CLASS,AssetClass:mega-cap stock,,real_agent_history,1.0
Asset:AAPL,HAS_RISK_STYLE,RiskStyle:medium_volatility,,real_agent_history,1.0
MarketSnapshot:AAPL_2025-09-17,SNAPSHOT_OF,Asset:AAPL,2025-09-17,real_agent_history,1.0
DailyBacktest:AAPL_2025-09-17,DAILY_RESULT_OF,Asset:AAPL,2025-09-17,real_agent_history,1.0
DailyBacktest:AAPL_2025-09-17,HAS_AGENT_VALUE,AgentValue:100191.00869555272,2025-09-17,real_agent_history,1.0
DailyBacktest:AAPL_2025-09-17,HAS_BUY_HOLD_VALUE,BuyHoldValue:100218.05946645858,2025-09-17,real_agent_history,1.0
DailyBacktest:AAPL_2025-09-17,HAS_AGENT_POSITION,Position:0.8,2025-09-17,real_agent_history,1.0
Asset:AAPL,HAS_ASSET_CLASS,AssetClass:mega-cap stock,,real_agent_history,1.0
Asset:AAPL,HAS_RISK_STYLE,RiskStyle:medium_volatility,,real_agent_history,1.0
MarketSnapshot:AAPL_2025-09-18,SNAPSHOT_OF,Asset:AAPL,2025-09-18,real_agent_history,1.0
DailyBacktest:AAPL_2025-09-18,DAILY_RESULT_OF,Asset:AAPL,2025-09-18,real_agent_history,1.0
DailyBacktest:AAPL_2025-09-18,HAS_AGENT_VALUE,AgentValue:99818.73399097477,2025-09-18,real_agent_history,1.0
DailyBacktest:AAPL_2025-09-18,HAS_BUY_HOLD_VALUE,BuyHoldValue:99752.59044674569,2025-09-18,real_agent_history,1.0
DailyBacktest:AAPL_2025-09-18,HAS_AGENT_POSITION,Position:0.8,2025-09-18,real_agent_history,1.0
Asset:AAPL,HAS_ASSET_CLASS,AssetClass:mega-cap stock,,real_agent_history,1.0
Asset:AAPL,HAS_RISK_STYLE,RiskStyle:medium_volatility,,real_agent_history,1.0
MarketSnapshot:AAPL_2025-09-19,SNAPSHOT_OF,Asset:AAPL,2025-09-19,real_agent_history,1.0
DailyBacktest:AAPL_2025-09-19,DAILY_RESULT_OF,Asset:AAPL,2025-09-19,real_agent_history,1.0
DailyBacktest:AAPL_2025-09-19,HAS_AGENT_VALUE,AgentValue:102376.72275028407,2025-09-19,real_agent_history,1.0
DailyBacktest:AAPL_2025-09-19,HAS_BUY_HOLD_VALUE,BuyHoldValue:102947.95762473742,2025-09-19,real_agent_history,1.0
DailyBacktest:AAPL_2025-09-19,HAS_AGENT_POSITION,Position:0.8,2025-09-19,real_agent_history,1.0
Asset:AAPL,HAS_ASSET_CLASS,AssetClass:mega-cap stock,,real_agent_history,1.0
Asset:AAPL,HAS_RISK_STYLE,RiskStyle:medium_volatility,,real_agent_history,1.0
MarketSnapshot:AAPL_2025-09-22,SNAPSHOT_OF,Asset:AAPL,2025-09-22,real_agent_history,1.0
DailyBacktest:AAPL_2025-09-22,DAILY_RESULT_OF,Asset:AAPL,2025-09-22,real_agent_history,1.0
DailyBacktest:AAPL_2025-09-22,HAS_AGENT_VALUE,AgentValue:105906.31773376836,2025-09-22,real_agent_history,1.0
DailyBacktest:AAPL_2025-09-22,HAS_BUY_HOLD_VALUE,BuyHoldValue:107384.5691052414,2025-09-22,real_agent_history,1.0
DailyBacktest:AAPL_2025-09-22,HAS_AGENT_POSITION,Position:0.8,2025-09-22,real_agent_history,1.0
Asset:AAPL,HAS_ASSET_CLASS,AssetClass:mega-cap stock,,real_agent_history,1.0
Asset:AAPL,HAS_RISK_STYLE,RiskStyle:medium_volatility,,real_agent_history,1.0
MarketSnapshot:AAPL_2025-09-23,SNAPSHOT_OF,Asset:AAPL,2025-09-23,real_agent_history,1.0
DailyBacktest:AAPL_2025-09-23,DAILY_RESULT_OF,Asset:AAPL,2025-09-23,real_agent_history,1.0
DailyBacktest:AAPL_2025-09-23,HAS_AGENT_VALUE,AgentValue:105360.4156449759,2025-09-23,real_agent_history,1.0
DailyBacktest:AAPL_2025-09-23,HAS_BUY_HOLD_VALUE,BuyHoldValue:106692.66679675503,2025-09-23,real_agent_history,1.0
DailyBacktest:AAPL_2025-09-23,HAS_AGENT_POSITION,Position:0.8,2025-09-23,real_agent_history,1.0
