asset,date,open,high,low,close,volume
SPY,2024-01-02,469.53,472.62,469.15,469.74,93750985
SPY,2024-01-03,472.81,474.53,469.27,471.68,112832639
SPY,2024-01-04,469.51,469.08,466.33,468.06,66469586
SPY,2024-01-05,459.46,461.5,459.16,459.5,84436650
SPY,2024-01-08,460.32,460.72,459.84,460.3,106652494
SPY,2024-01-09,461.01,460.85,460.57,460.6,85745797
SPY,2024-01-10,457.13,459.56,456.67,457.49,61046490
SPY,2024-01-11,457.31,461.28,456.21,457.23,76843673
SPY,2024-01-12,460.45,461.31,460.86,461.29,55141687
SPY,2024-01-15,460.13,461.24,459.83,460.88,94728679
SPY,2024-01-16,457.75,460.87,458.89,459.22,73582804
SPY,2024-01-17,462.47,462.34,459.76,461.08,55564467
SPY,2024-01-18,458.79,459.56,456.72,457.85,56216445
SPY,2024-01-19,461.79,463.77,457.0,461.49,105396250
SPY,2024-01-22,459.62,461.92,458.56,459.11,34382113
SPY,2024-01-23,450.34,451.98,451.34,451.44,25222854
SPY,2024-01-24,450.85,453.06,449.88,451.36,67103239
SPY,2024-01-25,452.51,453.23,450.91,451.47,26556480
SPY,2024-01-26,452.7,454.41,452.01,452.44,62266620
SPY,2024-01-29,455.71,458.49,455.12,455.5,75936275
SPY,2024-01-30,459.27,459.05,458.43,458.72,70119273
SPY,2024-01-31,462.05,463.03,462.22,462.64,84715706
SPY,2024-02-01,454.71,456.24,456.12,456.19,106403043
SPY,2024-02-02,452.99,454.27,452.88,454.02,56236010
SPY,2024-02-05,455.09,456.49,454.76,455.17,73208217
SPY,2024-02-06,456.43,458.7,457.66,458.28,101462557
SPY,2024-02-07,456.81,456.47,455.16,455.6,60420445
SPY,2024-02-08,453.39,454.08,451.26,453.57,68298207
SPY,2024-02-09,451.16,451.32,449.3,450.73,59837377
SPY,2024-02-12,450.53,451.49,449.12,450.48,34783473
SPY,2024-02-13,448.09,449.74,447.99,448.67,35415579
SPY,2024-02-14,445.94,448.21,443.23,446.28,111053105
SPY,2024-02-15,447.06,448.2,445.71,447.67,46247141
SPY,2024-02-16,456.78,456.64,455.58,456.45,59638583
SPY,2024-02-19,450.77,452.89,449.53,452.22,111469586
SPY,2024-02-20,456.48,455.96,455.04,455.7,67887881
SPY,2024-02-21,452.2,455.1,452.57,454.22,36031239
SPY,2024-02-22,451.86,452.14,449.75,451.02,68166681
SPY,2024-02-23,456.16,458.26,455.72,456.8,106713518
SPY,2024-02-26,460.56,460.84,460.3,460.8,22908435
SPY,2024-02-27,458.35,460.67,456.1,459.92,99594559
SPY,2024-02-28,462.17,464.17,459.03,461.39,98921310
SPY,2024-02-29,461.42,459.83,458.3,459.51,51164233
SPY,2024-03-01,459.64,460.47,458.06,459.51,61088432
SPY,2024-03-04,460.13,461.91,458.71,459.95,54559063
SPY,2024-03-05,461.82,460.8,459.47,459.77,50471791
SPY,2024-03-06,458.62,461.86,457.5,460.61,46395234
SPY,2024-03-07,465.54,467.25,464.94,465.6,98590517
SPY,2024-03-08,466.38,464.87,463.12,463.64,36988623
SPY,2024-03-11,460.87,462.77,461.69,462.71,73867678
SPY,2024-03-12,461.49,462.16,461.54,461.64,40625498
SPY,2024-03-13,462.41,463.2,460.34,462.91,72776115
SPY,2024-03-14,464.87,466.55,463.9,466.09,23279397
SPY,2024-03-15,459.89,462.24,456.06,460.53,53123842
SPY,2024-03-18,456.89,460.51,455.57,459.08,111044079
SPY,2024-03-19,457.13,458.53,456.04,457.31,69270462
SPY,2024-03-20,458.23,458.19,457.43,458.13,61491472
SPY,2024-03-21,463.83,462.64,459.87,462.4,20454212
SPY,2024-03-22,460.57,463.82,459.62,461.81,56567923
SPY,2024-03-25,462.78,462.53,459.21,461.24,29994870
SPY,2024-03-26,456.82,458.62,456.52,458.34,67053297
SPY,2024-03-27,456.04,458.48,456.95,458.12,119204987
SPY,2024-03-28,456.19,461.08,454.64,457.65,72660099
SPY,2024-03-29,462.84,465.18,461.95,462.21,79349009
SPY,2024-04-01,459.04,461.83,457.13,461.11,24240575
SPY,2024-04-02,461.76,462.94,459.54,461.58,50031886
SPY,2024-04-03,467.55,470.65,466.51,469.52,37134682
SPY,2024-04-04,467.6,470.0,468.46,468.53,113311401
SPY,2024-04-05,472.47,473.67,470.16,471.99,107283301
SPY,2024-04-08,472.78,470.71,469.46,470.68,80309877
SPY,2024-04-09,471.39,474.42,471.96,472.91,47965156
SPY,2024-04-10,470.38,470.62,468.62,469.74,81157389
SPY,2024-04-11,472.26,474.51,472.57,473.38,115577407
SPY,2024-04-12,477.41,477.2,475.79,476.33,74403921
SPY,2024-04-15,471.87,472.8,468.96,471.04,47804356
SPY,2024-04-16,472.06,471.65,470.25,470.6,25725415
SPY,2024-04-17,471.17,473.12,468.22,471.22,20926453
