asset,date,close,volume,ma20,ma60,ret20,vol20,drawdown60,rsi14,macd,macd_signal
SPY,2024-12-23,514.82,89950903,501.84,496.5078,0.0336,0.104,-0.029,86.6359,2.9556,2.3412
SPY,2025-01-20,524.83,35433917,521.1495,506.8408,0.0194,0.0957,-0.025,57.4061,4.0548,4.4197
SPY,2025-02-17,554.06,25452236,538.5445,520.5113,0.0557,0.1229,-0.0245,76.5865,7.0299,5.7609
SPY,2025-03-17,562.96,107938246,563.551,541.0817,0.0161,0.1083,-0.0249,49.0181,4.3562,6.256
SPY,2025-04-14,552.74,104715068,559.559,553.8848,-0.0182,0.1377,-0.0464,43.2084,-4.1975,-2.1987
SPY,2025-05-12,533.85,77200015,543.78,555.63,-0.0342,0.0683,-0.0679,27.7021,-5.3103,-5.1
AAPL,2024-12-23,159.06,28565295,158.613,164.0307,-0.0048,0.183,-0.1127,51.0038,-1.1054,-1.1948
AAPL,2025-01-20,155.15,65287570,157.884,160.124,-0.0246,0.1522,-0.0907,37.4618,-0.9548,-0.7017
AAPL,2025-02-17,147.5,96619684,152.4475,156.3148,-0.0493,0.1538,-0.0969,38.164,-2.0319,-1.3935
AAPL,2025-03-17,163.7,103992820,154.924,155.0852,0.1098,0.1934,-0.0958,76.2578,2.9924,1.9829
AAPL,2025-04-14,158.53,41678024,161.7815,156.3843,-0.0316,0.2121,-0.0649,37.484,-0.3847,0.7449
AAPL,2025-05-12,160.56,74953172,160.2725,158.9927,0.0128,0.1776,-0.0684,56.8818,-0.0605,-0.0426
MSFT,2024-12-23,345.35,38432182,354.121,354.094,-0.0396,0.1398,-0.059,31.338,-1.632,-1.7626
MSFT,2025-01-20,343.53,115350819,343.224,350.5752,-0.0053,0.1572,-0.077,54.3046,-2.0376,-2.1235
MSFT,2025-02-17,354.69,52818749,337.497,344.9473,0.0325,0.2191,-0.1195,73.2533,2.2908,-1.0115
MSFT,2025-03-17,382.52,32821377,371.7915,350.8375,0.0785,0.1428,-0.0891,68.8873,10.8845,10.1121
MSFT,2025-04-14,375.26,115167412,379.203,362.8305,-0.019,0.1202,-0.0776,48.6066,1.2159,2.3941
MSFT,2025-05-12,356.57,80545380,368.9315,373.3087,-0.0498,0.1663,-0.0935,41.313,-4.7476,-2.6972
NVDA,2024-12-23,65.64,39080568,68.5755,72.062,-0.0836,0.3131,-0.2289,42.8867,-0.8687,-0.5928
NVDA,2025-01-20,78.7,119905488,70.8675,70.086,0.199,0.287,-0.1141,79.8683,2.3232,1.3081
NVDA,2025-02-17,59.27,58564849,68.82,69.421,-0.2469,0.3941,-0.2469,16.6315,-2.7094,-1.8574
NVDA,2025-03-17,70.97,21665343,62.201,67.2962,0.1974,0.3455,-0.2543,77.6531,0.4716,-1.0298
NVDA,2025-04-14,67.48,97256585,71.5045,67.5085,-0.0492,0.5305,-0.2304,39.25,0.7235,1.3989
NVDA,2025-05-12,60.59,98679369,65.077,66.2608,-0.1021,0.3389,-0.22,27.8177,-2.1997,-1.8364
TSLA,2024-12-23,322.68,78070056,307.6805,317.2728,0.0466,0.6406,-0.3391,54.222,6.1664,4.6358
TSLA,2025-01-20,332.95,49037785,327.1605,310.283,0.0318,0.5407,-0.1077,56.7606,8.8074,7.7537
TSLA,2025-02-17,289.96,32208891,299.745,311.5287,-0.1291,0.4242,-0.2684,35.8614,-13.03,-11.9598
TSLA,2025-03-17,255.33,45459516,288.1125,305.006,-0.1194,0.5606,-0.2883,31.3362,-6.4971,-3.9036
TSLA,2025-04-14,274.76,51650174,266.2255,284.6943,0.0761,0.5561,-0.2498,63.6243,-1.5664,-1.247
TSLA,2025-05-12,315.29,29234314,296.1885,283.5088,0.1475,0.464,-0.1866,61.338,13.0686,10.4206
