asset,date,trend_state,vol_state
SPY,2024-12-23,Uptrend,LowVolatility
SPY,2025-01-20,Sideways,LowVolatility
SPY,2025-02-17,Uptrend,LowVolatility
SPY,2025-03-17,Sideways,LowVolatility
SPY,2025-04-14,Sideways,LowVolatility
SPY,2025-05-12,Downtrend,LowVolatility
AAPL,2024-12-23,Sideways,LowVolatility
AAPL,2025-01-20,Sideways,LowVolatility
AAPL,2025-02-17,Downtrend,LowVolatility
AAPL,2025-03-17,Uptrend,LowVolatility
AAPL,2025-04-14,Sideways,LowVolatility
AAPL,2025-05-12,Sideways,LowVolatility
MSFT,2024-12-23,Downtrend,LowVolatility
MSFT,2025-01-20,Sideways,LowVolatility
MSFT,2025-02-17,Uptrend,LowVolatility
MSFT,2025-03-17,Uptrend,LowVolatility
MSFT,2025-04-14,Sideways,LowVolatility
MSFT,2025-05-12,Downtrend,LowVolatility
NVDA,2024-12-23,Downtrend,MediumVolatility
NVDA,2025-01-20,Uptrend,MediumVolatility
NVDA,2025-02-17,Downtrend,MediumVolatility
NVDA,2025-03-17,Uptrend,MediumVolatility
NVDA,2025-04-14,Downtrend,HighVolatility
NVDA,2025-05-12,Downtrend,MediumVolatility
TSLA,2024-12-23,Uptrend,HighVolatility
TSLA,2025-01-20,Uptrend,HighVolatility
TSLA,2025-02-17,Downtrend,MediumVolatility
TSLA,2025-03-17,Downtrend,HighVolatility
TSLA,2025-04-14,Sideways,HighVolatility
TSLA,2025-05-12,Uptrend,HighVolatility
