asset,date,agent,weight,trend_state,vol_state
SPY,2024-12-23,TechnicalAgent,0.3182,Uptrend,LowVolatility
SPY,2024-12-23,BullAgent,0.3182,Uptrend,LowVolatility
SPY,2024-12-23,BearAgent,0.1364,Uptrend,LowVolatility
SPY,2024-12-23,RiskAgent,0.2273,Uptrend,LowVolatility
SPY,2025-01-20,TechnicalAgent,0.3,Sideways,LowVolatility
SPY,2025-01-20,BullAgent,0.25,Sideways,LowVolatility
SPY,2025-01-20,BearAgent,0.2,Sideways,LowVolatility
SPY,2025-01-20,RiskAgent,0.25,Sideways,LowVolatility
SPY,2025-02-17,TechnicalAgent,0.3182,Uptrend,LowVolatility
SPY,2025-02-17,BullAgent,0.3182,Uptrend,LowVolatility
SPY,2025-02-17,BearAgent,0.1364,Uptrend,LowVolatility
SPY,2025-02-17,RiskAgent,0.2273,Uptrend,LowVolatility
SPY,2025-03-17,TechnicalAgent,0.3,Sideways,LowVolatility
SPY,2025-03-17,BullAgent,0.25,Sideways,LowVolatility
SPY,2025-03-17,BearAgent,0.2,Sideways,LowVolatility
SPY,2025-03-17,RiskAgent,0.25,Sideways,LowVolatility
SPY,2025-04-14,TechnicalAgent,0.3,Sideways,LowVolatility
SPY,2025-04-14,BullAgent,0.25,Sideways,LowVolatility
SPY,2025-04-14,BearAgent,0.2,Sideways,LowVolatility
SPY,2025-04-14,RiskAgent,0.25,Sideways,LowVolatility
SPY,2025-05-12,TechnicalAgent,0.2727,Downtrend,LowVolatility
SPY,2025-05-12,BullAgent,0.1818,Downtrend,LowVolatility
SPY,2025-05-12,BearAgent,0.2727,Downtrend,LowVolatility
SPY,2025-05-12,RiskAgent,0.2727,Downtrend,LowVolatility
AAPL,2024-12-23,TechnicalAgent,0.3,Sideways,LowVolatility
AAPL,2024-12-23,BullAgent,0.25,Sideways,LowVolatility
AAPL,2024-12-23,BearAgent,0.2,Sideways,LowVolatility
AAPL,2024-12-23,RiskAgent,0.25,Sideways,LowVolatility
AAPL,2025-01-20,TechnicalAgent,0.3,Sideways,LowVolatility
AAPL,2025-01-20,BullAgent,0.25,Sideways,LowVolatility
AAPL,2025-01-20,BearAgent,0.2,Sideways,LowVolatility
AAPL,2025-01-20,RiskAgent,0.25,Sideways,LowVolatility
AAPL,2025-02-17,TechnicalAgent,0.2727,Downtrend,LowVolatility
AAPL,2025-02-17,BullAgent,0.1818,Downtrend,LowVolatility
AAPL,2025-02-17,BearAgent,0.2727,Downtrend,LowVolatility
AAPL,2025-02-17,RiskAgent,0.2727,Downtrend,LowVolatility
AAPL,2025-03-17,TechnicalAgent,0.3182,Uptrend,LowVolatility
AAPL,2025-03-17,BullAgent,0.3182,Uptrend,LowVolatility
AAPL,2025-03-17,BearAgent,0.1364,Uptrend,LowVolatility
AAPL,2025-03-17,RiskAgent,0.2273,Uptrend,LowVolatility
AAPL,2025-04-14,TechnicalAgent,0.3,Sideways,LowVolatility
AAPL,2025-04-14,BullAgent,0.25,Sideways,LowVolatility
AAPL,2025-04-14,BearAgent,0.2,Sideways,LowVolatility
AAPL,2025-04-14,RiskAgent,0.25,Sideways,LowVolatility
AAPL,2025-05-12,TechnicalAgent,0.3,Sideways,LowVolatility
AAPL,2025-05-12,BullAgent,0.25,Sideways,LowVolatility
AAPL,2025-05-12,BearAgent,0.2,Sideways,LowVolatility
AAPL,2025-05-12,RiskAgent,0.25,Sideways,LowVolatility
MSFT,2024-12-23,TechnicalAgent,0.2727,Downtrend,LowVolatility
MSFT,2024-12-23,BullAgent,0.1818,Downtrend,LowVolatility
MSFT,2024-12-23,BearAgent,0.2727,Downtrend,LowVolatility
MSFT,2024-12-23,RiskAgent,0.2727,Downtrend,LowVolatility
MSFT,2025-01-20,TechnicalAgent,0.3,Sideways,LowVolatility
MSFT,2025-01-20,BullAgent,0.25,Sideways,LowVolatility
MSFT,2025-01-20,BearAgent,0.2,Sideways,LowVolatility
MSFT,2025-01-20,RiskAgent,0.25,Sideways,LowVolatility
MSFT,2025-02-17,TechnicalAgent,0.3182,Uptrend,LowVolatility
MSFT,2025-02-17,BullAgent,0.3182,Uptrend,LowVolatility
MSFT,2025-02-17,BearAgent,0.1364,Uptrend,LowVolatility
MSFT,2025-02-17,RiskAgent,0.2273,Uptrend,LowVolatility
MSFT,2025-03-17,TechnicalAgent,0.3182,Uptrend,LowVolatility
MSFT,2025-03-17,BullAgent,0.3182,Uptrend,LowVolatility
MSFT,2025-03-17,BearAgent,0.1364,Uptrend,LowVolatility
MSFT,2025-03-17,RiskAgent,0.2273,Uptrend,LowVolatility
MSFT,2025-04-14,TechnicalAgent,0.3,Sideways,LowVolatility
MSFT,2025-04-14,BullAgent,0.25,Sideways,LowVolatility
MSFT,2025-04-14,BearAgent,0.2,Sideways,LowVolatility
MSFT,2025-04-14,RiskAgent,0.25,Sideways,LowVolatility
MSFT,2025-05-12,TechnicalAgent,0.2727,Downtrend,LowVolatility
MSFT,2025-05-12,BullAgent,0.1818,Downtrend,LowVolatility
MSFT,2025-05-12,BearAgent,0.2727,Downtrend,LowVolatility
MSFT,2025-05-12,RiskAgent,0.2727,Downtrend,LowVolatility
NVDA,2024-12-23,TechnicalAgent,0.2435,Downtrend,MediumVolatility
NVDA,2024-12-23,BullAgent,0.1478,Downtrend,MediumVolatility
NVDA,2024-12-23,BearAgent,0.2609,Downtrend,MediumVolatility
NVDA,2024-12-23,RiskAgent,0.3478,Downtrend,MediumVolatility
NVDA,2025-01-20,TechnicalAgent,0.287,Uptrend,MediumVolatility
NVDA,2025-01-20,BullAgent,0.2783,Uptrend,MediumVolatility
NVDA,2025-01-20,BearAgent,0.1304,Uptrend,MediumVolatility
NVDA,2025-01-20,RiskAgent,0.3043,Uptrend,MediumVolatility
NVDA,2025-02-17,TechnicalAgent,0.2435,Downtrend,MediumVolatility
NVDA,2025-02-17,BullAgent,0.1478,Downtrend,MediumVolatility
NVDA,2025-02-17,BearAgent,0.2609,Downtrend,MediumVolatility
NVDA,2025-02-17,RiskAgent,0.3478,Downtrend,MediumVolatility
NVDA,2025-03-17,TechnicalAgent,0.287,Uptrend,MediumVolatility
NVDA,2025-03-17,BullAgent,0.2783,Uptrend,MediumVolatility
NVDA,2025-03-17,BearAgent,0.1304,Uptrend,MediumVolatility
NVDA,2025-03-17,RiskAgent,0.3043,Uptrend,MediumVolatility
NVDA,2025-04-14,TechnicalAgent,0.2435,Downtrend,HighVolatility
NVDA,2025-04-14,BullAgent,0.1478,Downtrend,HighVolatility
NVDA,2025-04-14,BearAgent,0.2609,Downtrend,HighVolatility
NVDA,2025-04-14,RiskAgent,0.3478,Downtrend,HighVolatility
NVDA,2025-05-12,TechnicalAgent,0.2435,Downtrend,MediumVolatility
NVDA,2025-05-12,BullAgent,0.1478,Downtrend,MediumVolatility
NVDA,2025-05-12,BearAgent,0.2609,Downtrend,MediumVolatility
NVDA,2025-05-12,RiskAgent,0.3478,Downtrend,MediumVolatility
TSLA,2024-12-23,TechnicalAgent,0.287,Uptrend,HighVolatility
TSLA,2024-12-23,BullAgent,0.2783,Uptrend,HighVolatility
TSLA,2024-12-23,BearAgent,0.1304,Uptrend,HighVolatility
TSLA,2024-12-23,RiskAgent,0.3043,Uptrend,HighVolatility
TSLA,2025-01-20,TechnicalAgent,0.287,Uptrend,HighVolatility
TSLA,2025-01-20,BullAgent,0.2783,Uptrend,HighVolatility
TSLA,2025-01-20,BearAgent,0.1304,Uptrend,HighVolatility
TSLA,2025-01-20,RiskAgent,0.3043,Uptrend,HighVolatility
TSLA,2025-02-17,TechnicalAgent,0.2435,Downtrend,MediumVolatility
TSLA,2025-02-17,BullAgent,0.1478,Downtrend,MediumVolatility
TSLA,2025-02-17,BearAgent,0.2609,Downtrend,MediumVolatility
TSLA,2025-02-17,RiskAgent,0.3478,Downtrend,MediumVolatility
TSLA,2025-03-17,TechnicalAgent,0.2435,Downtrend,HighVolatility
TSLA,2025-03-17,BullAgent,0.1478,Downtrend,HighVolatility
TSLA,2025-03-17,BearAgent,0.2609,Downtrend,HighVolatility
TSLA,2025-03-17,RiskAgent,0.3478,Downtrend,HighVolatility
TSLA,2025-04-14,TechnicalAgent,0.2667,Sideways,HighVolatility
TSLA,2025-04-14,BullAgent,0.2095,Sideways,HighVolatility
TSLA,2025-04-14,BearAgent,0.1905,Sideways,HighVolatility
TSLA,2025-04-14,RiskAgent,0.3333,Sideways,HighVolatility
TSLA,2025-05-12,TechnicalAgent,0.287,Uptrend,HighVolatility
TSLA,2025-05-12,BullAgent,0.2783,Uptrend,HighVolatility
TSLA,2025-05-12,BearAgent,0.1304,Uptrend,HighVolatility
TSLA,2025-05-12,RiskAgent,0.3043,Uptrend,HighVolatility
