asset,date,technical_score,bull_score,bear_score,risk_score,raw_position,final_position,veto_applied,veto_reason,trend_state,vol_state
SPY,2024-12-23,0.3344,0.368,0.3,0.416,0.4495,0.4495,False,none,Uptrend,LowVolatility
SPY,2025-01-20,0.5776,0.097,0.0,0.3828,0.464,0.464,False,none,Sideways,LowVolatility
SPY,2025-02-17,0.4228,0.4785,0.3,0.4916,0.5068,0.5068,False,none,Uptrend,LowVolatility
SPY,2025-03-17,0.5644,0.0805,0.0,0.4332,0.4515,0.4515,False,none,Sideways,LowVolatility
SPY,2025-04-14,0.1272,-0.091,0.0,0.5508,0.2672,0.2672,False,none,Sideways,LowVolatility
SPY,2025-05-12,-0.6368,-0.171,0.0,0.2732,0.0692,0.0692,False,none,Downtrend,LowVolatility
AAPL,2024-12-23,-0.2192,-0.024,0.0,0.5229,0.1825,0.1825,False,none,Sideways,LowVolatility
AAPL,2025-01-20,-0.5984,-0.123,0.0,0.4349,0.0517,0.0517,False,none,Sideways,LowVolatility
AAPL,2025-02-17,-0.6972,-0.2,0.0,0.4394,0.0316,0.0316,False,none,Downtrend,LowVolatility
AAPL,2025-03-17,-0.2,0.749,0.3,0.5526,0.3898,0.3898,False,none,Uptrend,LowVolatility
AAPL,2025-04-14,0.0736,-0.158,0.0,0.606,0.2296,0.2296,False,none,Sideways,LowVolatility
AAPL,2025-05-12,0.5512,0.064,0.0,0.5074,0.437,0.437,False,none,Sideways,LowVolatility
MSFT,2024-12-23,0.0416,-0.198,0.0,0.3994,0.2372,0.2372,False,none,Downtrend,LowVolatility
MSFT,2025-01-20,-0.2212,-0.0265,0.0,0.4491,0.1877,0.1877,False,none,Sideways,LowVolatility
MSFT,2025-02-17,-0.37,0.3625,0.0,0.626,0.2478,0.2478,False,none,Uptrend,LowVolatility
MSFT,2025-03-17,0.8,0.5925,0.0,0.408,0.7106,0.55,True,exceed_max_position,Uptrend,LowVolatility
MSFT,2025-04-14,0.424,-0.095,0.0,0.3434,0.3734,0.3734,False,none,Sideways,LowVolatility
MSFT,2025-05-12,-0.6992,-0.2,0.0,0.4751,0.0276,0.0276,False,none,Downtrend,LowVolatility
NVDA,2024-12-23,-0.8,-0.2,0.35,0.5693,0.0,0.0,False,none,Downtrend,MediumVolatility
NVDA,2025-01-20,0.5,0.9,0.3,0.5218,0.5993,0.35,True,exceed_max_position,Uptrend,MediumVolatility
NVDA,2025-02-17,-0.8,-0.2,0.35,0.7165,0.0,0.0,False,none,Downtrend,MediumVolatility
NVDA,2025-03-17,-0.2,0.9,0.65,0.6282,0.3414,0.3414,False,none,Uptrend,MediumVolatility
NVDA,2025-04-14,0.0032,-0.2,0.6,0.9645,0.0,0.0,False,none,Downtrend,HighVolatility
NVDA,2025-05-12,-0.8,-0.2,0.35,0.6162,0.0,0.0,False,none,Downtrend,MediumVolatility
TSLA,2024-12-23,-0.0136,0.433,0.6,1.0677,0.2246,0.15,True,drawdown_limit_triggered;volatility_limit_triggered,Uptrend,HighVolatility
TSLA,2025-01-20,0.6272,0.359,0.25,0.9012,0.4513,0.3,True,exceed_max_position,Uptrend,HighVolatility
TSLA,2025-02-17,-0.8,-0.2,0.35,0.707,0.0,0.0,False,none,Downtrend,MediumVolatility
TSLA,2025-03-17,-0.8,-0.2,0.6,0.9343,0.0,0.0,False,none,Downtrend,HighVolatility
TSLA,2025-04-14,0.1,0.3805,0.6,0.9268,0.184,0.184,False,none,Sideways,HighVolatility
TSLA,2025-05-12,0.8,0.9,0.0,0.7733,0.6977,0.3,True,exceed_max_position,Uptrend,HighVolatility
