subject,predicate,object,date,source,confidence
Asset:SPY,HAS_RISK_PROFILE,RiskProfile:LowVolatilityETF,,demo_pipeline,1.0
Asset:SPY,HAS_ASSET_TYPE,AssetType:ETF,,demo_pipeline,1.0
RiskProfile:LowVolatilityETF,CONSTRAINS,RiskRule:SPY_MaxPosition_0.8,,demo_pipeline,1.0
RiskProfile:LowVolatilityETF,CONSTRAINS,RiskRule:SPY_VolLimit_0.25,,demo_pipeline,1.0
RiskProfile:LowVolatilityETF,CONSTRAINS,RiskRule:SPY_DrawdownLimit_-0.12,,demo_pipeline,1.0
Asset:SPY,IN_MARKET_STATE,MarketState:Uptrend,2024-12-23,indicator_classification,0.85
Asset:SPY,IN_VOLATILITY_STATE,MarketState:LowVolatility,2024-12-23,indicator_classification,0.85
Asset:SPY,HAS_INDICATOR,Indicator:SPY_MA20_2024-12-23,2024-12-23,demo_pipeline,1.0
Asset:SPY,HAS_INDICATOR,Indicator:SPY_MA60_2024-12-23,2024-12-23,demo_pipeline,1.0
Asset:SPY,HAS_INDICATOR,Indicator:SPY_RET20_2024-12-23,2024-12-23,demo_pipeline,1.0
Asset:SPY,HAS_INDICATOR,Indicator:SPY_VOL20_2024-12-23,2024-12-23,demo_pipeline,1.0
Asset:SPY,HAS_INDICATOR,Indicator:SPY_DRAWDOWN60_2024-12-23,2024-12-23,demo_pipeline,1.0
Asset:SPY,HAS_INDICATOR,Indicator:SPY_RSI14_2024-12-23,2024-12-23,demo_pipeline,1.0
Asset:SPY,HAS_INDICATOR,Indicator:SPY_MACD_2024-12-23,2024-12-23,demo_pipeline,1.0
MarketState:Uptrend,INCREASES_TRUST_IN,Agent:TechnicalAgent,2024-12-23,trust_weight_module,0.3182
MarketState:Uptrend,INCREASES_TRUST_IN,Agent:BullAgent,2024-12-23,trust_weight_module,0.3182
MarketState:Uptrend,USES_TRUST_WEIGHT,Agent:BearAgent,2024-12-23,trust_weight_module,0.1364
MarketState:Uptrend,USES_TRUST_WEIGHT,Agent:RiskAgent,2024-12-23,trust_weight_module,0.2273
Decision:SPY_2024-12-23,TARGETS_ASSET,Asset:SPY,2024-12-23,decision_agent,1.0
Decision:SPY_2024-12-23,HAS_RAW_POSITION,Position:0.4495,2024-12-23,decision_agent,1.0
Decision:SPY_2024-12-23,HAS_FINAL_POSITION,Position:0.4495,2024-12-23,risk_veto,1.0
Asset:SPY,IN_MARKET_STATE,MarketState:Sideways,2025-01-20,indicator_classification,0.85
Asset:SPY,IN_VOLATILITY_STATE,MarketState:LowVolatility,2025-01-20,indicator_classification,0.85
Asset:SPY,HAS_INDICATOR,Indicator:SPY_MA20_2025-01-20,2025-01-20,demo_pipeline,1.0
